t_s,bob1_energy_proxy_fraction,bob2_energy_proxy_fraction,bob3_energy_proxy_fraction,bob4_energy_proxy_fraction,bob5_energy_proxy_fraction
2.43674000,0.4261705903,0.232481533,0.2295535386,0.1105430602,0.001251277985
2.45343000,0.3715045135,0.233587152,0.2784368639,0.110994786,0.005476684479
2.47012000,0.2681396768,0.257532149,0.3362032673,0.1006003226,0.03752458431
2.48681000,0.1956016986,0.2701565489,0.3412828907,0.09479751033,0.09816135143
2.50350000,0.1960069083,0.275342969,0.2850618972,0.1012300194,0.1423582061
2.52019000,0.2724949438,0.2699345592,0.2033683133,0.1016133204,0.1525888633
2.53688000,0.3886661767,0.2572147547,0.1321618374,0.08868342411,0.1332738071
2.55357000,0.4758911001,0.2521359047,0.09514538133,0.07020650254,0.1066211114
2.57026000,0.5226552834,0.2648025773,0.07405552116,0.04502588188,0.09346073633
2.58695000,0.5236692078,0.2989282095,0.06374833502,0.02704163089,0.08661261686
2.60364000,0.4970422439,0.3323533611,0.06341069229,0.02375492198,0.08343878064
2.62033000,0.4466289746,0.3570978499,0.06838955438,0.0330541471,0.09482947403
2.63702000,0.3815733458,0.3843814609,0.07731253511,0.04080191511,0.1159307431
2.65371000,0.3258530143,0.4007514377,0.0951825901,0.03914541038,0.1390675475
2.67040000,0.2781683975,0.4031443347,0.1169801071,0.04104745656,0.1606597041
2.68709000,0.2385184179,0.3870968509,0.1377624597,0.07178708184,0.1648351896
2.70378000,0.207155878,0.3399038355,0.1533119229,0.1517753229,0.1478530408
2.72047000,0.1727575835,0.2698934125,0.1604468237,0.2672207116,0.1296814688
2.73716000,0.1453527649,0.1973256549,0.1663070797,0.3769462813,0.1140682192
2.75385000,0.1313977655,0.1421541925,0.182020799,0.4507371429,0.09369010007
2.77054000,0.1254363215,0.1190578747,0.2052318653,0.4666470391,0.08362689947
2.78723000,0.1278282987,0.1202948167,0.2331443351,0.4321936887,0.08653886073
2.80392000,0.1382044173,0.140420644,0.254335476,0.369414019,0.09762544364
2.82061000,0.164465068,0.1588773677,0.2501866636,0.2913828119,0.1350880888
2.83730000,0.1988664707,0.1603415773,0.2178134644,0.2284010958,0.1945773918
2.85399000,0.2170313908,0.1585686097,0.1842793906,0.1945797218,0.2455408871
2.87068000,0.1838555003,0.1352938866,0.2173772968,0.1924947996,0.2709785168
2.88737000,0.1091663984,0.1095998484,0.3244181227,0.2201325124,0.2366831181
2.90406000,0.03895141056,0.1060407423,0.4172804309,0.2561566591,0.1815707571
2.92075000,0.007629712471,0.1292262948,0.4249210971,0.2947205536,0.143502342
2.93744000,0.005020000743,0.1701939057,0.3623859833,0.3269547475,0.1354453628
2.95413000,0.01299722229,0.2036434181,0.2971338534,0.3067063021,0.1795192041
2.97082000,0.0175220504,0.1969963107,0.2420968086,0.2731304688,0.2702543615
2.98751000,0.01597226997,0.1502792667,0.2085807493,0.2552373736,0.3699303404
3.00420000,0.0109176272,0.09058789231,0.1831050637,0.2503877466,0.4650016701
3.02089000,0.00455510387,0.04743694968,0.1578054347,0.2743860576,0.5158164542
3.03758000,0.001103372364,0.02700889164,0.1319052199,0.3158151828,0.5241673333
3.05427000,0.0025049267,0.03017289538,0.106005494,0.3462134066,0.5151032773
3.07096000,0.008461585028,0.03806558417,0.08819485621,0.3801658986,0.485112076
3.08765000,0.01879516397,0.03794396438,0.08529395749,0.4115208302,0.446446084
3.10434000,0.03037510347,0.03113876179,0.09102754145,0.4222424021,0.4252161912
3.12103000,0.04441906198,0.01666737144,0.1157217236,0.4192824535,0.4039093895
3.13772000,0.05829024944,0.009150822306,0.150711109,0.3997170428,0.3821307764
3.15441000,0.06172409695,0.0444523419,0.1763081111,0.3564903877,0.3610250624
3.17110000,0.05266706023,0.1439928517,0.1767261275,0.3120929,0.3145210606
3.18779000,0.04199610368,0.2329431162,0.1569073707,0.2897059672,0.2784474422
3.20448000,0.0339892304,0.252506687,0.1389448525,0.3087131003,0.2658461298
3.22117000,0.02879498556,0.2212167468,0.1292714957,0.332770515,0.287946257
3.23786000,0.02588866405,0.1734559989,0.1231324271,0.3364325323,0.3410903776
3.25455000,0.02683905081,0.1427135239,0.1209767202,0.2967943737,0.4126763314
3.27124000,0.03005443859,0.1269949605,0.1183274277,0.2407989195,0.4838242537
3.28793000,0.03493256288,0.1239954806,0.1252485989,0.1756313332,0.5401920244
