frequency_Hz,bob1_amp,bob2_amp,bob3_amp,bob4_amp,bob5_amp
0.84747767,0.001111873539,0.001786665046,0.0008257695487,0.0005901193641,0.0004215485064
0.85301674,0.0005483157944,0.0009610900686,0.0002221707117,0.0001448981662,0.0008908019585
0.85855581,0.001217017621,0.0005739919043,0.0008358931937,0.0005208329149,0.001177489149
0.86409488,0.0005491174883,0.0002958008904,0.001328186893,0.0006638212272,0.0007757620217
0.86963395,0.0004066722766,0.0003917877041,0.001125721117,0.0003526381266,0.0006220086296
0.87517302,0.0007297712766,0.001467299689,0.000690834621,0.0001463535025,0.001294177148
0.88071209,0.000575061743,0.001595224983,0.0007339420052,0.0005854565773,0.001772298119
0.88625116,0.0002483003322,0.001731920961,0.0002211487703,0.0003846193089,0.001123685116
0.89179023,0.000825005327,0.001978406319,0.0002297343452,0.0007078597056,0.0006119048202
0.89732930,0.001157768954,0.001391492351,0.0002699072109,0.0004776732756,0.001264491049
0.90286837,0.0002591965066,0.001236123325,0.0008547678553,0.0003214621816,0.001791382966
0.90840744,0.0006675008272,0.0006770300902,0.000389157761,0.0001490343632,0.001530576652
0.91394651,0.0004304684798,0.0001168183501,0.001360158638,8.720777101e-05,0.001385058956
0.91948558,0.0005304697528,0.0008173614005,0.001116873169,0.0002453618054,0.001572821449
0.92502465,0.0005900406307,0.001366578771,0.0006193717188,0.0002914809871,0.001666740318
0.93056372,0.0004875539488,0.001424532417,0.0007472945031,5.245502377e-05,0.0003662332343
0.93610279,0.00040627131,0.0009469438567,0.0008328215461,0.0001148818758,0.001461364746
0.94164186,0.0003999382667,0.00124613494,0.001628042918,0.0001709532957,0.0008634011573
0.94718093,0.0001095327539,0.0009157031988,0.001164177548,0.000363576092,0.0002221719611
0.95272000,0.0007604833843,8.019344601e-05,0.0006812800428,0.000394499924,0.0001303129896
0.95825907,0.0009156341277,0.0005075900982,0.0006377292603,0.0002526712157,0.0003022316792
0.96379814,0.000492534139,0.001485166933,0.00041774873,0.000488947995,0.0006780665297
0.96933721,0.00041536141,0.001194121348,0.0003713599291,0.0004709730592,0.0005921750212
0.97487628,0.0007758938824,7.166545999e-05,0.0003049151589,0.0006407086612,0.0005696269563
0.98041534,0.0006267191527,0.001290771795,0.0002116749328,0.0003724653119,0.0005027134066
0.98595441,5.851606423e-05,0.002075799859,0.0006500750658,0.0002404691988,0.0003543257236
0.99149348,0.0004122965362,0.001934977525,0.001230392456,0.0001200927675,0.0006162602048
0.99703255,0.00114882704,0.001040983552,0.001169789001,0.0002686877691,0.0009592120566
1.00257162,0.001066769113,0.0003024046633,0.0007319918145,0.0006801800374,0.0005438191816
1.00811069,0.0003532090697,0.0008719449501,0.0005221085592,0.000674809112,0.000610475732
1.01364976,0.001322395123,0.0009779531482,0.0002253486187,0.000380296366,0.001004911396
1.01918883,0.001870814975,0.0004491641538,0.0004651942302,0.0005986299129,0.001001590271
1.02472790,0.001522665156,0.001401787197,0.0007888073132,0.0004843131581,0.001220647265
1.03026697,0.0009388893747,0.001091113043,0.0007729740461,0.0007866652576,0.001162470848
1.03580604,0.0002202779829,0.001667995599,0.0005529960905,0.0006148376119,0.0005946156795
1.04134511,0.0001679719799,0.001501433079,0.0002478051732,0.0004395782471,0.0005693331512
1.04688418,0.0009881004012,0.0006442918707,0.0003816760112,0.0006615163155,0.0007228099481
1.05242325,0.0007074341171,0.001007670006,0.0003095840772,0.0006488752911,0.0006979990653
1.05796232,0.0003069794632,0.001063146033,0.001123433985,0.0002757686754,0.0004903383935
1.06350139,0.0008727372298,0.001059171629,0.000802497822,0.0008625802716,0.0004016522201
1.06904046,0.001132127429,0.001615823601,0.001775789064,0.001233930097,0.0004242690146
1.07457953,0.002948508375,0.002187361314,0.001741580949,0.000844442745,0.002266140326
1.08011860,0.009110921778,0.00169046797,0.01187942028,0.003548033576,0.00956277557
1.08565767,0.009751287118,0.002976131078,0.01247606758,0.00397229568,0.01076639134
1.09119674,0.002948568514,0.0008847601779,0.003161228307,0.0007462951207,0.004069907593
1.09673581,0.001036484837,0.0006008239489,0.001368423195,0.0008849571554,0.0007748422753
1.10227488,0.001250525643,0.001797380724,0.0002137685592,0.0003393400147,0.002412599763
1.10781395,0.0008346432368,0.00119224044,0.001092649679,0.0002457281559,0.001997564102
1.11335302,0.000283849929,0.0008597046086,0.0007394593535,0.0004100658823,0.001414735482
1.11889209,0.0003062470193,0.0009369316753,0.0005940978571,0.0006502950974,0.0008392969105
1.12443116,0.0008040309563,0.00180165028,0.0005405999842,0.0008159545712,0.0002861047814
1.12997023,0.0007249457061,0.001264837166,0.000593985075,0.0005357930715,0.0004212995055
1.13550930,0.0001636593452,0.0005725192721,0.0006345794873,0.0003452960588,0.0004708693442
1.14104837,0.0005737794203,0.000974706743,0.0001938096012,0.0006458873698,0.0001582110462
1.14658744,0.0005840258888,0.001795546861,0.0005261700803,0.0002808451543,0.000199310677
1.15212651,7.058819887e-05,0.001036365477,0.0007465105053,0.0006861371871,0.0003035857495
1.15766558,0.000550178425,0.0002002427551,0.001277462146,0.001087492824,0.001005778147
1.16320465,0.000765027347,0.0005755964202,0.0007554447258,0.0006278955547,0.001540086302
1.16874372,0.0003381409472,0.0008417487864,0.0004366894358,0.0005006790291,0.001390402287
1.17428279,0.0003024170834,0.0004177116048,9.815761302e-05,0.0003182781866,0.0006355803442
1.17982186,0.0005667105805,0.0005459546979,0.0002993255491,0.0003028207807,0.0002043153651
1.18536093,0.0007280579128,0.0008457053343,0.0007632316895,8.266433574e-05,0.0003768170688
1.19090000,0.0002322418073,0.001080805666,0.0005736680525,0.0003035762709,0.0007303236636
1.19643906,0.0005076103743,9.804996506e-05,0.000218757226,0.000783181807,0.0009078296298
1.20197813,0.0004814458612,0.0007703904027,0.0008811201444,0.0003095274232,0.0007939519527
1.20751720,0.0004106909802,0.001174777266,0.001507691064,0.000272308048,0.0005005711336
1.21305627,0.0006350007534,0.0005926307145,0.001218528374,0.0002101413394,0.0002597872387
1.21859534,0.0009057739744,0.001661176762,0.0004153898842,0.0003515561633,0.000418646073
1.22413441,0.001181805489,0.001617613578,0.0006139647157,0.0003407451905,0.0008849065864
1.22967348,0.0005146429322,0.00103945349,0.0002081423424,0.0005290865265,0.001162798298
1.23521255,0.0008627057339,0.0005300496955,0.00016455101,0.0004079203678,0.0008681332169
1.24075162,0.0009905619073,0.0004874387708,0.0003128190963,0.0006690691655,0.0001990958592
1.24629069,0.0006119180598,0.0007926644822,0.0006827306477,0.0007576541428,0.0003253009232
1.25182976,0.0007648441532,0.001425190432,0.0005703282784,0.0004837647912,0.0006654155369
1.25736883,0.0008293633565,0.001779584293,0.0004579893728,0.0009345804353,0.001079429541
1.26290790,0.001330963686,0.0009794073053,0.0002905678152,0.001056227085,0.001650128866
1.26844697,0.001128669964,0.0004956488556,6.685203874e-05,0.0007130725331,0.001077128672
1.27398604,0.003516877412,0.00190675139,0.0005747357025,0.002333040839,0.004741195866
1.27952511,0.00446951164,0.002728746021,0.0009773804168,0.00302317968,0.006241045357
1.28506418,0.001721351833,0.001779584193,0.0001743748212,0.0008220200307,0.002764718226
1.29060325,0.0009413755311,0.0004043173869,0.0009332146467,0.0001957656238,0.0003006471301
1.29614232,0.0009274666672,0.001336045378,0.0009041868476,0.0003843971245,0.0005021843915
1.30168139,0.0002598934461,0.0009938082667,0.0004974382096,0.0004330738577,0.0004315948769
1.30722046,0.0005565708423,0.0002590683293,0.0005004603791,0.0002215373129,0.0005197410068
1.31275953,0.0003504421227,0.0006561274356,0.001040316197,0.0003181343358,0.00101417945
1.31829860,0.0005745785815,0.000689889309,0.0009138488665,0.0005257417949,0.0007926334971
1.32383767,0.0005306391772,0.0004031153264,0.0001968646338,0.0004256467094,0.0002394474458
1.32937674,0.0007175426793,0.0008003045837,0.000536248097,0.0002013915827,0.00033063431
1.33491581,0.0009075448786,0.0008578522434,0.0004608894894,0.000263977158,0.0006700347645
1.34045488,0.0004680604757,0.0007276225818,0.001006113529,0.00037205347,0.000735898034
1.34599395,0.0002299803134,0.001188397671,0.000803246224,0.0006450579746,0.001673218506
