t_s,bob1_proxy,bob2_proxy,bob3_proxy,bob4_proxy,bob5_proxy
150.10986000,0.272073403,0.3876852483,0.238484962,0.132273426,-0.04004018398
150.12655000,0.2584097088,0.3084006313,0.1900205032,0.1222659382,-0.02351993386
150.14324000,0.2447460146,0.2125724071,0.147650454,0.1061832026,-0.001234287531
150.15993000,0.2138134342,0.1165199075,0.1062483096,0.08571610027,0.0222834349
150.17662000,0.1711247942,0.03522901882,0.0614263033,0.06119608308,0.04859872872
150.19331000,0.1284361542,-0.02463410713,0.01129975644,0.03600651925,0.07504401465
150.21000000,0.07400559668,-0.05859263798,-0.04300353547,0.01331779672,0.1008080763
150.22669000,0.01152174416,-0.07080244367,-0.09481756691,-0.003626237358,0.1200812089
150.24338000,-0.05096210835,-0.07673216809,-0.1365476411,-0.01591027721,0.1279027081
150.26007000,-0.1084908691,-0.0871102445,-0.1616697359,-0.02669463755,0.1230656813
150.27676000,-0.1626797885,-0.1135768173,-0.1682555445,-0.0374942753,0.1087175157
150.29345000,-0.216868708,-0.1577172185,-0.156321569,-0.04583215748,0.08472493729
150.31014000,-0.2505713875,-0.2108595943,-0.1355233996,-0.0523510665,0.04829565999
150.32683000,-0.270362385,-0.2655386161,-0.1174930385,-0.05847103653,0.004985864938
150.34352000,-0.2901533824,-0.3127168362,-0.1105360717,-0.0647538906,-0.03943874478
150.36021000,-0.2838042398,-0.3490054572,-0.1214607252,-0.07467335105,-0.08007596844
150.37690000,-0.2600109276,-0.366430829,-0.1516788461,-0.0893478868,-0.1127275485
150.39359000,-0.2362176153,-0.3580686434,-0.1965023821,-0.1090319393,-0.1413539563
150.41028000,-0.1978048752,-0.3250782468,-0.2479738927,-0.1385523515,-0.1668274959
150.42697000,-0.1495628401,-0.2769088179,-0.2976264501,-0.1826766208,-0.1833386363
150.44366000,-0.1013208051,-0.2203076572,-0.3334424007,-0.2386139554,-0.1902808452
150.46035000,-0.05439066836,-0.1694850784,-0.3470520395,-0.2993820453,-0.189028972
150.47704000,-0.008327298167,-0.1286037758,-0.3379663403,-0.3518415511,-0.1829071101
150.49373000,0.03773607203,-0.09338450636,-0.3087848974,-0.3863210019,-0.178760616
150.51042000,0.07164255773,-0.06649205693,-0.2655221999,-0.39366492,-0.1761639991
150.52711000,0.09765667863,-0.04355089761,-0.219417961,-0.3660954154,-0.174345459
150.54380000,0.1236707995,-0.01134517995,-0.1747460738,-0.3042681079,-0.1727597359
150.56049000,0.1336231471,0.0231928008,-0.128180686,-0.2177247832,-0.170779883
150.57718000,0.1330692801,0.05710441175,-0.0774604243,-0.1170995759,-0.1633850828
150.59387000,0.1325154131,0.09629727898,-0.01585668405,-0.01902506225,-0.1503826014
150.61056000,0.1215803616,0.130640328,0.05748248008,0.06520228719,-0.1265544585
150.62725000,0.1038036348,0.1553879232,0.1346201526,0.1319502935,-0.08502882976
150.64394000,0.08602690802,0.1782618779,0.2094164378,0.1767563495,-0.02582197691
150.66063000,0.07141677938,0.1923407425,0.273414199,0.2020610626,0.04486117252
150.67732000,0.05885728097,0.195704356,0.3180287863,0.2187691441,0.120625702
150.69401000,0.04629778256,0.2013168884,0.3383960978,0.23391244,0.1965967912
150.71070000,0.04290317856,0.2008070631,0.3290315354,0.2526057699,0.267128909
150.72739000,0.04548844136,0.189487017,0.2922294187,0.2817604205,0.3287227998
150.74408000,0.04807370416,0.1729739611,0.2415028744,0.3146412449,0.3782784117
150.76077000,0.05540404533,0.1460201435,0.1903024073,0.3438700705,0.4114651235
150.77746000,0.06577646232,0.1048701532,0.1501978661,0.3648854796,0.4243152723
150.79415000,0.07614887931,0.06374136052,0.1275386622,0.3664766971,0.4205324675
150.81084000,0.0839959097,0.02386279729,0.1216694159,0.3467043782,0.3999609244
150.82753000,0.09025224245,-0.001652197497,0.1272290197,0.3119669461,0.3607003589
150.84422000,0.09650857521,0.0003729709798,0.1370162305,0.2606266562,0.3046208749
150.86091000,0.09704530057,0.02700120679,0.1445728287,0.1983143047,0.2383292481
150.87760000,0.09395195188,0.07065303482,0.1425643521,0.135089108,0.1629223589
150.89429000,0.09085860318,0.1235835984,0.130386162,0.07311222665,0.08442924026
150.91098000,0.08458498709,0.1722592996,0.110183629,0.01644199114,0.01018653314
150.92767000,0.07632834432,0.2076850658,0.08431548527,-0.03368629384,-0.06081849103
150.94436000,0.06807170156,0.2172681006,0.05562599116,-0.08241874565,-0.1308868876
150.96105000,0.05900688886,0.197413827,0.02694223537,-0.128722493,-0.1936036042
150.97774000,0.04943430889,0.1470892406,-0.001474774439,-0.1713714187,-0.2500110157
150.99443000,0.03986172892,0.07371576734,-0.03396133629,-0.2096591729,-0.2920895551
151.01112000,0.02651315292,-0.009387631956,-0.07518864791,-0.2403260259,-0.3090577494
151.02781000,0.010774098,-0.08746333804,-0.1292559005,-0.2629636781,-0.3050869585
151.04450000,-0.004964956914,-0.1499201744,-0.1955155482,-0.278975187,-0.288191193
151.06119000,-0.02869876548,-0.193214974,-0.2683279567,-0.2910105407,-0.2604283701
151.07788000,-0.05740501562,-0.2214002438,-0.3363200388,-0.3011386503,-0.225453663
151.09457000,-0.08611126575,-0.2366176243,-0.389612203,-0.3116580573,-0.1851494614
151.11126000,-0.1201181502,-0.2486974808,-0.4153016098,-0.3178969905,-0.136008954
151.12795000,-0.1574469721,-0.2594335229,-0.4090925224,-0.3164392286,-0.0872393899
151.14464000,-0.194775794,-0.2675957977,-0.3739308036,-0.3056506771,-0.04313522429
151.16133000,-0.2250538728,-0.278837752,-0.3173479922,-0.2801000358,-0.005629805486
151.17802000,-0.2509909327,-0.2907548033,-0.2499991123,-0.2371932009,0.02234006877
151.19471000,-0.2769279926,-0.2970375834,-0.1832160203,-0.177729675,0.03659779106
151.21140000,-0.2836850261,-0.2938741172,-0.1243166639,-0.1029606297,0.04065618246
151.22809000,-0.2788418321,-0.2774192836,-0.07785253288,-0.02036952798,0.03832892284
151.24478000,-0.273998638,-0.2444763574,-0.04290991042,0.05771848777,0.03544978025
151.26147000,-0.245901762,-0.196777956,-0.01448567305,0.121588404,0.03427065769
151.27816000,-0.2036329215,-0.1363394907,0.01352144033,0.1581947915,0.03230818009
151.29485000,-0.1613640811,-0.0723968806,0.04539174853,0.1620217032,0.03325197877
151.31154000,-0.1043364649,-0.00680926558,0.07781216086,0.1352952916,0.03891123042
151.32823000,-0.03824519043,0.05546757197,0.1067318282,0.09130367097,0.05056926343
151.34492000,0.02784608406,0.114563194,0.1286720442,0.04414290958,0.07060214936
151.36161000,0.09094915627,0.17339582,0.139100407,0.006670548792,0.08890338734
151.37830000,0.1522495474,0.2267997883,0.1387874488,-0.01179764599,0.09984785986
151.39499000,0.2135499385,0.2709787505,0.1313047865,-0.009161454542,0.1031898546
151.41168000,0.2551607154,0.304275327,0.1199643957,0.01224020546,0.09830704647
151.42837000,0.2848021796,0.3233262995,0.1162818334,0.04983383521,0.08735660752
151.44506000,0.3144436437,0.3299042634,0.1286943359,0.0924547731,0.07648573883
151.46175000,0.3153719307,0.3261864384,0.1594283465,0.1299484845,0.06421081577
151.47844000,0.2991547415,0.3159239645,0.2068592736,0.1586422123,0.04907410477
151.49513000,0.2829375523,0.3089812357,0.2591942674,0.1771544737,0.03585877659
151.51182000,0.24735391,0.3080936486,0.3033825427,0.1864354973,0.02751572801
151.52851000,0.2001169412,0.3035063827,0.3333581892,0.1888472275,0.03085330276
151.54520000,0.1528799725,0.2952936922,0.3423399763,0.1880161009,0.04444089858
151.56189000,0.1032434216,0.2820951093,0.3253631584,0.1857436258,0.06288550928
151.57858000,0.05218862389,0.2625860123,0.2837159925,0.1858606938,0.08278816723
151.59527000,0.001133826187,0.2272164421,0.2240589199,0.1864384289,0.1043413712
151.61196000,-0.03883011702,0.1710577213,0.1583737851,0.1815004927,0.1251080727
151.62865000,-0.07235590316,0.08510033945,0.09749120585,0.1683874341,0.1474220152
151.64534000,-0.1058816893,-0.02115987213,0.04372454098,0.147096676,0.1651062704
151.66203000,-0.1271007536,-0.1275878156,-0.005575319733,0.1190622009,0.1728020858
151.67872000,-0.1411204439,-0.222586139,-0.05472190623,0.08719700009,0.1710490623
151.69541000,-0.1551401343,-0.3006263245,-0.1065067477,0.04999537824,0.1630817979
