frequency_Hz,amplitude,power
0.826282152794001,0.00849430977473957,7.21532985492362e-05
0.8334672149922097,0.004234640594226107,1.793218096226764e-05
0.8406522771904184,0.0011712843735814142,1.3719070837960057e-06
0.847837339388627,0.0007909709063172245,6.256349746402915e-07
0.8550224015868357,0.00024372938090427588,5.94040111159816e-08
0.8622074637850444,0.0009672020410200982,9.354797881534439e-07
0.8693925259832531,0.0012671679309930635,1.6057145653372412e-06
0.8765775881814618,0.0019768967198650054,3.908120641013018e-06
0.8837626503796705,0.001378596863222451,1.900529311286781e-06
0.8909477125778793,0.0006986890291630693,4.881663594728322e-07
0.898132774776088,0.00019108489077232163,3.6513435481470085e-08
0.9053178369742967,0.0010925891538945672,1.1937510592080463e-06
0.9125028991725054,0.00041005583159082955,1.6814578502164676e-07
0.9196879613707141,0.00048378694476258055,2.3404980792271216e-07
0.9268730235689228,0.0005420713134928341,2.9384130891184645e-07
0.9340580857671315,0.00032818675840177785,1.0770654839026691e-07
0.9412431479653401,0.0003537407693776973,1.2513253191992522e-07
0.9484282101635488,0.00033785605336650104,1.14146712796388e-07
0.9556132723617576,0.00026357879537011237,6.947378136875957e-08
0.9627983345599663,0.0003845278303305719,1.4786165229873707e-07
0.969983396758175,0.0002062096483823419,4.2522419085969086e-08
0.9771684589563837,0.00016138313445783196,2.604451608743467e-08
0.9843535211545924,0.0001417485401689782,2.009264864003643e-08
0.9915385833528011,0.0003509502796521215,1.2316609878790228e-07
0.9987236455510098,0.00015681089380671816,2.4589656416461837e-08
1.0059087077492186,0.0009131986578950063,8.339317887812408e-07
1.0130937699474272,0.000806594051384434,6.50593963728755e-07
1.020278832145636,0.0014061853143870514,1.9773571383978108e-06
1.0274638943438446,0.0026406642175520593,6.973107509859829e-06
1.0346489565420534,0.001315557267662313,1.7306909244991308e-06
1.041834018740262,0.00031953474315028996,1.0210245208012177e-07
1.0490190809384707,0.00026506121563200214,7.025744803231473e-08
1.0562041431366795,7.44532654613736e-05,5.543288737861767e-09
1.0633892053348881,0.00010309231018754852,1.062802441980572e-08
1.070574267533097,0.00018561751253460694,3.4453860959534964e-08
1.0777593297313055,0.00011655489321427359,1.358504313219072e-08
1.0849443919295143,4.0846899189071124e-05,1.6684691733621392e-09
1.0921294541277229,7.219983430438395e-05,5.2128160735804975e-09
1.0993145163259317,0.00028373661817005376,8.050646849057887e-08
1.1064995785241403,0.0003002920234858426,9.017529936922183e-08
1.113684640722349,0.00021351307619971218,4.5587833708264096e-08
1.1208697029205579,0.00012416825962753206,1.5417756698930207e-08
1.1280547651187665,0.0008638451256479586,7.462284011057374e-07
1.1352398273169753,0.0005116420353411542,2.617775723280389e-07
1.1424248895151838,0.0013621513421957256,1.8554562790456167e-06
1.1496099517133926,0.0009467703393882626,8.96374075545366e-07
1.1567950139116012,0.0007148266631222906,5.109771583105487e-07
1.16398007610981,0.0009361126205010383,8.763068382613209e-07
1.1711651383080186,0.00042143351247244624,1.776062054348635e-07
1.1783502005062274,9.676739763249619e-05,9.363929244565629e-09
1.1855352627044362,6.912773147656137e-05,4.778643259095574e-09
1.1927203249026448,9.923077249725949e-05,9.84674621040287e-09
1.1999053871008536,0.00035262781119400644,1.2434637322747586e-07
1.2070904492990622,0.00021129343967131263,4.464491764813463e-08
1.214275511497271,0.00014473489826060437,2.0948190774507496e-08
1.2214605736954796,0.0003360594413463893,1.1293594811804726e-07
1.2286456358936884,0.0005814103993200403,3.3803805243748876e-07
1.235830698091897,0.0003001300915829372,9.007807187358228e-08
1.2430157602901057,0.000617141539229516,3.808636794425763e-07
1.2502008224883145,0.0005669493187148374,3.2143152999121826e-07
1.2573858846865231,0.0012020613019686982,1.444951373690682e-06
1.264570946884732,0.002392571400031917,5.724397904250687e-06
1.2717560090829405,0.0014977608498825139,2.24328756344079e-06
1.2789410712811493,1.0875492940646806e-05,1.182763467020585e-10
1.286126133479358,0.0001846900292276576,3.411040689611302e-08
1.2933111956775667,4.3301019765820366e-05,1.874978312759966e-09
1.3004962578757753,0.00017033912024862585,2.9015415887075816e-08
1.307681320073984,0.00021308298228525462,4.5404357339578134e-08
1.3148663822721929,0.0007516317331088197,5.649502622161681e-07
1.3220514444704015,0.0001681180910284551,2.8263692531051914e-08
1.3292365066686103,0.0005734046467468438,3.287928889108727e-07
1.3364215688668188,0.00043083344879821705,1.856174606033659e-07
1.3436066310650276,0.001284231517976416,1.6492505917640096e-06
1.3507916932632362,0.0026477172438420745,7.010406603338672e-06
1.357976755461445,0.006008361189775565,3.6100404186801246e-05
1.3651618176596536,0.015447161005806124,0.00023861478313929726
1.3723468798578624,0.055623510022605537,0.0030939748672348987
1.379531942056071,0.15075334475421273,0.02272657095458252
1.3867170042542798,0.18974230757020683,0.03600214328206697
1.3939020664524886,0.07991591439388629,0.0063865533734109615
1.4010871286506972,0.004046177832485273,1.6371555052095224e-05
1.408272190848906,0.0005761295143601968,3.319252173169162e-07
1.4154572530471146,0.0005828120638251296,3.3966990174010693e-07
1.4226423152453234,0.0010147113669574598,1.0296391582326766e-06
1.429827377443532,0.00022395520508985438,5.0155933886838736e-08
1.4370124396417407,0.0002000340652870502,4.0013627275263864e-08
1.4441975018399493,0.000419700731683517,1.7614870417567954e-07
1.4513825640381581,0.00031515521789307073,9.932281136522889e-08
1.458567626236367,0.00019142695371178833,3.664427860737515e-08
