t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.49166667,-0.4117297004,-0.1878101137,0.01762480676,0.2305403419,0.5183036772,-0.4461249162,-0.4101284402,-0.3407443154,-0.3458096797,-1.227556266
0.50000000,-0.4153196094,-0.1911185486,0.01483825861,0.2276903447,0.5073715478,-0.4150097993,-0.3834301923,-0.3281551023,-0.3390703015,-1.393784673
0.50833333,-0.4186394637,-0.1941933481,0.01215333929,0.2248724436,0.4951168449,-0.3813499059,-0.3541186256,-0.3163619681,-0.3383478395,-1.544570759
0.51666667,-0.4216688639,-0.1970145421,0.009563334804,0.2220290159,0.4816796677,-0.3453288551,-0.3226493042,-0.3053760553,-0.345662056,-1.676951633
0.52500000,-0.4243890241,-0.1995661805,0.007061296595,0.2190830281,0.4672277335,-0.3071769247,-0.2895053575,-0.2952711002,-0.3631747019,-1.787719375
0.53333333,-0.4267833235,-0.201836369,0.00463943469,0.2159429787,0.451952116,-0.2671694289,-0.2551880891,-0.2861521284,-0.3927454065,-1.873941693
0.54166667,-0.4288375013,-0.203817541,0.002288703703,0.2124979507,0.4360727462,-0.2255977409,-0.2202328787,-0.2782579351,-0.4364558189,-1.932317986
0.55000000,-0.4305397977,-0.2055066956,-2.528708842e-06,0.208623322,0.4198340108,-0.1827709884,-0.1851984474,-0.2719359699,-0.496315698,-1.959490544
0.55833333,-0.431881109,-0.2069055467,-0.002249462138,0.2041804247,0.4035061191,-0.1390178029,-0.1506531173,-0.2677431635,-0.5728737577,-1.953406931
0.56666667,-0.432855157,-0.2080204522,-0.004472763811,0.1990261009,0.3873771731,-0.09468789025,-0.1171444252,-0.2663886172,-0.6668840606,-1.911637058
0.57500000,-0.4334586694,-0.2088624347,-0.006699702305,0.1930221998,0.3717448669,-0.05015318399,-0.08524900012,-0.268793534,-0.7765143663,-1.834129245
0.58333333,-0.4336916154,-0.2094473354,-0.008966172713,0.1860521015,0.3569020784,-0.005834320227,-0.05552899261,-0.2761236318,-0.8975945461,-1.722924145
0.59166667,-0.433557968,-0.2097953286,-0.01132332762,0.1780504182,0.3431138015,0.03774659551,-0.02848247233,-0.2910728239,-1.022849224,-1.581604425
