frequency_Hz,amp_theta1_rad,amp_theta2_rad,amp_theta3_rad,amp_theta4_rad,amp_theta5_rad
6.10000000,1.508236032e-06,1.526432636e-06,2.41678254e-06,7.334673542e-06,4.064579354e-06
6.15000000,8.793643093e-06,1.368620627e-05,2.745159575e-06,1.626805341e-05,9.819562438e-06
6.20000000,3.093984195e-05,4.154142753e-05,1.417998044e-06,4.233550229e-05,3.141248928e-05
6.25000000,2.169520027e-05,2.902488493e-05,3.656606089e-06,2.530829772e-05,2.143582598e-05
6.30000000,9.109619066e-06,1.889401315e-05,1.071861933e-05,9.227036855e-06,8.425479446e-06
6.35000000,8.917309887e-06,1.627150786e-05,7.389072185e-06,1.718446265e-05,7.540091126e-06
6.40000000,0.0002006238479,0.0003972932359,2.646371829e-06,0.0004001087666,0.0002007173309
6.45000000,0.00062011538,0.00129352028,1.931691187e-06,0.001294790585,0.0006197361283
6.50000000,0.0003135078486,0.0008984413535,2.521242391e-06,0.0009008514048,0.0003131962724
6.55000000,0.0003299784156,0.0002461028686,4.656738405e-06,0.0002408783793,0.0003294120525
6.60000000,0.0002016198579,0.000240740896,6.169243811e-06,0.0002338694787,0.0002010260648
6.65000000,1.571787552e-05,1.864052885e-05,4.267763631e-06,2.077570989e-05,1.608697588e-05
6.70000000,7.926820584e-06,1.624744735e-05,2.472540954e-06,1.870601737e-05,8.774736362e-06
6.75000000,2.3239082e-05,2.661566152e-05,2.340073778e-06,2.611820564e-05,2.330311068e-05
6.80000000,5.245240349e-05,6.462110764e-05,2.820024664e-06,6.610545317e-05,5.316312937e-05
6.85000000,3.371906181e-05,4.120898685e-05,3.543834582e-06,4.352709227e-05,3.461252768e-05
6.90000000,7.254904574e-06,7.705666239e-06,4.357457864e-06,1.150155678e-05,7.289311504e-06
6.95000000,1.085692223e-06,2.885461426e-06,3.525882639e-06,2.300741109e-06,1.133901431e-06
7.00000000,2.878835875e-06,4.624714891e-06,1.939118447e-06,2.992047134e-06,1.824389357e-06
7.05000000,2.970125962e-06,6.641772011e-06,6.454559148e-07,6.395399894e-06,2.350353403e-06
7.10000000,1.350512726e-06,6.136284008e-06,1.813515529e-06,7.405785694e-06,2.022731585e-06
7.15000000,2.022098577e-06,5.280090654e-06,6.386388119e-06,3.968350963e-06,1.561215809e-06
7.20000000,7.264231148e-06,1.322656854e-05,1.716508198e-05,1.260049714e-05,7.304684902e-06
7.25000000,1.377943637e-05,2.224837848e-05,2.271788901e-05,2.084361633e-05,1.354000477e-05
7.30000000,7.272802487e-06,9.688576353e-06,7.473376734e-06,9.991814739e-06,6.924097247e-06
7.35000000,5.274803481e-06,1.210220543e-05,1.417175452e-05,1.176971199e-05,4.497222561e-06
7.40000000,1.043092217e-05,4.91043329e-05,7.787926613e-05,4.873850119e-05,9.649960899e-06
7.45000000,3.014103792e-05,0.0001221203218,0.0001877719667,0.0001214632801,2.946804624e-05
7.50000000,6.985791783e-05,3.063485597e-05,8.175874033e-05,3.054580876e-05,6.958653122e-05
7.55000000,0.0004917160222,0.000781419745,0.0005939176362,0.0007812519733,0.0004914433796
7.60000000,0.0006760382295,0.001177864735,0.001001808391,0.001179264431,0.0006766534427
7.65000000,0.0002622197132,0.0004781887919,0.0004265920607,0.0004798520365,0.0002630602896
7.70000000,1.874595814e-05,4.284824009e-05,5.005814624e-05,4.576587537e-05,1.97279306e-05
7.75000000,7.360890996e-06,1.4483378e-05,1.527126324e-05,1.423166145e-05,6.120208502e-06
7.80000000,2.286124723e-05,4.378602561e-05,4.199686326e-05,4.400385768e-05,2.234381678e-05
7.85000000,3.460646319e-05,7.019117405e-05,7.024172708e-05,7.004894415e-05,3.431531366e-05
7.90000000,9.720396039e-06,2.203956594e-05,2.536222957e-05,2.225017425e-05,9.659128197e-06
7.95000000,8.945662982e-06,1.446441536e-05,9.682545689e-06,1.359486789e-05,8.426891646e-06
8.00000000,3.303015749e-06,5.504729277e-06,4.889504519e-06,6.785225193e-06,3.484178362e-06
8.05000000,3.149760356e-07,2.091553845e-06,2.241682946e-06,1.045937211e-06,5.044497146e-07
8.10000000,7.479661435e-07,1.230848048e-06,1.981954327e-06,1.48389123e-06,1.781142803e-07
8.15000000,6.119319739e-07,1.31089108e-06,3.65641441e-07,2.465807646e-07,3.937823271e-07
8.20000000,2.893943217e-06,4.129703776e-06,1.482969387e-06,7.752750649e-07,1.288895019e-06
8.25000000,2.915683327e-06,3.004300261e-06,9.532228887e-07,1.057999078e-06,1.850272556e-06
8.30000000,3.423730826e-06,3.241669844e-06,1.3027848e-07,3.036434174e-06,3.167746405e-06
8.35000000,3.821600672e-06,4.299254262e-06,4.515552328e-07,4.313715609e-06,3.656437034e-06
8.40000000,3.595872911e-06,2.5264207e-06,1.546216387e-06,4.078405169e-07,2.147733737e-06
8.45000000,2.011299276e-06,2.042052043e-06,2.777074338e-06,9.986215959e-07,1.655109955e-06
8.50000000,1.37557342e-06,7.420399176e-06,1.420951622e-06,6.868625189e-06,2.330133125e-06
8.55000000,7.109670922e-05,8.410479449e-05,7.645240086e-08,8.395761918e-05,7.101941946e-05
8.60000000,0.0002063556019,0.0001940511806,1.264276582e-07,0.0001942124196,0.0002066432324
8.65000000,0.0002171967557,0.0001372308077,4.696184611e-07,0.0001369937915,0.0002172998809
8.70000000,0.0001022987362,3.820577553e-05,4.20433371e-07,3.845069002e-05,0.0001027327995
8.75000000,1.535050359e-05,1.248850928e-05,1.191520163e-06,1.168101278e-05,1.568579158e-05
8.80000000,3.728042162e-06,3.661320388e-06,1.379870784e-06,4.288892468e-06,4.092436923e-06
8.85000000,1.436449542e-06,2.166355307e-06,9.209285467e-07,1.327930591e-06,9.2704579e-07
8.90000000,7.298856172e-06,9.485895543e-06,4.685256646e-07,9.371716359e-06,7.421822299e-06
