t_s,theta1,theta2,theta3,theta4,theta5,omega1,omega2,omega3,omega4,omega5
0.49166667,-0.2971772223,-0.105188034,0.08988991098,0.2612220222,0.5032476646,-1.92477512,-2.935410536,-2.905808057,-2.094621269,2.956093562
0.50000000,-0.3124777453,-0.1293221266,0.06544601687,0.2430553148,0.5265826377,-1.745677471,-2.854025306,-2.957934511,-2.263158685,2.641882206
0.50833333,-0.3262454204,-0.1527101138,0.04063800751,0.2235414201,0.5472410381,-1.557067674,-2.75644022,-2.993145429,-2.417762966,2.313993475
0.51666667,-0.3384090252,-0.1752158777,0.01560788529,0.2028008504,0.5651159341,-1.36131823,-2.641960594,-3.011216592,-2.557399753,1.974129071
0.52500000,-0.3489211007,-0.1966938328,-0.009501151248,0.1809621262,0.5801148105,-1.160903737,-2.509865149,-3.012084655,-2.681187513,1.624046846
0.53333333,-0.3577480048,-0.21699976,-0.03454577481,0.1581604173,0.5921600116,-0.9571538959,-2.360724975,-2.995762262,-2.788416399,1.265554066
0.54166667,-0.3648695513,-0.2359923332,-0.05938293052,0.1345359389,0.6011891212,-0.7518749739,-2.194746317,-2.962314754,-2.878577389,0.9004944696
0.55000000,-0.3702786057,-0.2535343284,-0.08387070235,0.1102326396,0.6071552584,-0.5464166409,-2.012700657,-2.911937857,-2.951277658,0.5307542284
0.55833333,-0.3739814631,-0.2694972025,-0.1078651497,0.08539722572,0.6100272674,-0.3426740462,-1.816165251,-2.843647205,-3.006257387,0.1582225254
0.56666667,-0.3759982724,-0.2837684725,-0.1312136706,0.06017779234,0.6097898801,-0.1420463953,-1.606850903,-2.756950861,-3.043437411,-0.2151799458
0.57500000,-0.3763631595,-0.2962439245,-0.1537640212,0.03472271394,0.6064439021,0.05353820461,-1.385356934,-2.652132299,-3.062821295,-0.5875139276
0.58333333,-0.375123261,-0.3068292843,-0.1753651207,0.009179895667,0.6000063778,0.2427904192,-1.153455252,-2.52909424,-3.064526121,-0.9568250875
0.59166667,-0.3723392507,-0.3154420584,-0.1958656285,-0.01630436309,0.5905106505,0.4239556959,-0.9122017185,-2.388075035,-3.048821238,-1.32115626
0.60000000,-0.368083505,-0.3220118159,-0.2151164153,-0.04158638378,0.5780063421,0.5956613124,-0.6633910821,-2.229094847,-3.016052972,-1.678565122
0.60833333,-0.362441568,-0.3264823438,-0.2329682938,-0.06652537558,0.5625591414,0.7565814644,-0.4087804376,-2.052606141,-2.96640748,-2.027127867
0.61666667,-0.3555069638,-0.3288153407,-0.2492819623,-0.09097644439,0.5442506934,0.9056379913,-0.1507276473,-1.860065548,-2.89885747,-2.364952555
0.62500000,-0.347382372,-0.32899186,-0.2639267298,-0.1147903296,0.5231782424,1.042167987,0.1081510427,-1.652044049,-2.813549511,-2.690186616
0.63333333,-0.3381748641,-0.3270182141,-0.276773005,-0.1378207175,0.4994542128,1.165349293,0.3649625543,-1.428560712,-2.710834471,-3.001038496
0.64166667,-0.3279973705,-0.322925444,-0.287694115,-0.1599221159,0.4732056689,1.275039276,0.6160775926,-1.190097773,-2.590605496,-3.295789307
0.65000000,-0.316960881,-0.3167774442,-0.2965663798,-0.1809498359,0.4445736584,1.371461224,0.8575654649,-0.9367931353,-2.453194127,-3.572803596
0.65833333,-0.3051764204,-0.3086704375,-0.3032677693,-0.2007599867,0.4137124928,1.454690656,1.085386484,-0.6691224057,-2.298334666,-3.8305371
0.66666667,-0.2927500831,-0.2987389772,-0.3076790034,-0.2192073058,0.380788981,1.525663912,1.294653663,-0.387277714,-2.126056779,-4.067533408
0.67500000,-0.2797801834,-0.2871562463,-0.3096870621,-0.2361440897,0.3459816744,1.585298459,1.480949935,-0.09248130168,-1.935785511,-4.282429532
0.68333333,-0.2663574346,-0.2741319242,-0.3091887658,-0.2514183584,0.3094801209,1.63449339,1.639971129,0.2138736841,-1.726842853,-4.473948116
0.69166667,-0.252565309,-0.2599087447,-0.306096651,-0.2648707698,0.2714841413,1.674078616,1.768182694,0.5294919755,-1.498307414,-4.64090141
0.70000000,-0.238480835,-0.2447535521,-0.3003485702,-0.2763326744,0.232203078,1.704762305,1.863453841,0.8505093976,-1.248884777,-4.782194429
0.70833333,-0.2241758055,-0.2289421099,-0.2919241101,-0.2856227146,0.1918549815,1.727086969,1.92584167,1.170595096,-0.9766960118,-4.896833616
0.71666667,-0.2097182741,-0.2127420834,-0.2808644073,-0.2925413016,0.1506656675,1.741405228,1.957343414,1.481298189,-0.6793475897,-4.983946984
0.72500000,-0.1951741558,-0.1963950076,-0.2672904247,-0.296867631,0.1088676377,1.747880333,1.96192395,1.772126156,-0.354049844,-5.042820813
0.73333333,-0.1806087048,-0.1801010488,-0.2514208633,-0.2983547473,0.06669871268,1.746515913,1.945744547,2.029884346,0.002687176416,-5.072881547
0.74166667,-0.1660875436,-0.1640042448,-0.233589717,-0.2967255802,0.02440064086,1.737232426,1.915773441,2.240684475,0.3943510987,-5.073779549
0.75000000,-0.1516771981,-0.1481898362,-0.2142414318,-0.2916795134,-0.01778291261,1.719898704,1.879130078,2.392089131,0.8229506019,-5.04539384
0.75833333,-0.1374455864,-0.1326886182,-0.1939109258,-0.2829063089,-0.05960825042,1.694281426,1.841204011,2.475699702,1.288558095,-4.987856086
0.76666667,-0.1234624923,-0.1174980455,-0.1731699614,-0.2701141148,-0.1008339874,1.660274779,1.805036497,2.491148127,1.786113363,-4.901546655
0.77500000,-0.1097971078,-0.1025976562,-0.1525552775,-0.2531039042,-0.1412002768,1.618076901,1.77140483,2.44801377,2.29547782,-4.778969857
0.78333333,-0.0965163427,-0.08796896758,-0.1324792348,-0.2319194937,-0.1803434173,1.568036301,1.739727255,2.365632013,2.781605032,-4.60564741
0.79166667,-0.08368360987,-0.07360248782,-0.1131679725,-0.2069350358,-0.2177637091,1.510641022,1.708065439,2.268695594,3.198041624,-4.360438822
0.80000000,-0.07135775438,-0.05950545023,-0.09464789825,-0.1790073783,-0.2526936101,1.446494456,1.674879091,2.178736211,3.472588053,-3.996811815
0.80833333,-0.05959220406,-0.04569649428,-0.07679974982,-0.1497948165,-0.2837795002,1.376289367,1.638570013,2.108441462,3.478053103,-3.414515651
0.81666667,-0.04843433322,-0.03220830438,-0.05945534937,-0.1221982854,-0.3086864209,1.30078094,1.597829173,2.056485654,3.113421409,-2.544631491
0.82500000,-0.03792505301,-0.01907895599,-0.04250526072,-0.09794253051,-0.3263075116,1.220758532,1.55243749,2.011884918,2.710321067,-1.694571379
0.83333333,-0.0280996688,-0.006347533814,-0.02593132313,-0.07699040039,-0.3370757059,1.136686279,1.50224673,1.964738965,2.319595913,-0.8968036444
0.84166667,-0.01898999948,0.005944273091,-0.009788031064,-0.05927415077,-0.3413414608,1.049115748,1.446941113,1.907367385,1.931958581,-0.1304656006
0.85000000,-0.01062197508,0.01775412349,0.005810704865,-0.04481047947,-0.3392794505,0.9588211916,1.386580965,1.832935305,1.537459428,0.6252016859
0.85833333,-0.003015031391,0.02903942667,0.02069592818,-0.03369086079,-0.3308986763,0.8665857781,1.32091955,1.73520123,1.128149193,1.389101004
0.86666667,0.003817805301,0.03975195341,0.03465018092,-0.0260665663,-0.3160556301,0.773138946,1.24901936,1.60827309,0.6979831217,2.178895516
0.87500000,0.009867738869,0.04983919194,0.04739867671,-0.02212290212,-0.2944692014,0.6787025626,1.170860823,1.444497757,0.2446811306,3.009826871
0.88333333,0.01512802534,0.05924760009,0.05859650636,-0.0220261775,-0.2657604149,0.5837286505,1.085957106,1.234306986,-0.2210938816,3.887195441
0.89166667,0.01959674889,0.0679168163,0.06780746691,-0.02577980894,-0.2295649889,0.4888245961,0.9932386797,0.9653141846,-0.6764358586,4.806728502
0.90000000,0.0232768378,0.07577557216,0.07447914587,-0.03319684625,-0.1855442754,0.394543036,0.8911366336,0.6220688045,-1.094909886,5.763491513
0.90833333,0.02617486647,0.08273765304,0.07792230473,-0.04292660178,-0.1343305404,0.3011029081,0.7777092445,0.1886183987,-1.138855211,6.442576164
0.91666667,0.02829770911,0.08869876004,0.07739366721,-0.05103292316,-0.07911823202,0.208559079,0.6503368788,-0.3253362158,-0.7621188522,6.770536611
