t_s,theta_rad
10.63350000,-0.2650434339
10.65435000,-0.3122950801
10.67520000,-0.349476488
10.69605000,-0.3742037415
10.71690000,-0.3845432103
10.73775000,-0.3828225696
10.75860000,-0.3677435981
10.77945000,-0.3400076198
10.80030000,-0.3000508065
10.82115000,-0.2495598776
10.84200000,-0.1910738122
10.86285000,-0.1248331204
10.88370000,-0.05367309965
10.90455000,0.01862815608
10.92540000,0.09116313868
10.94625000,0.1599599462
10.96710000,0.2240298858
10.98795000,0.2806333838
11.00880000,0.3286182677
11.02965000,0.3656254888
11.05050000,0.3905996339
11.07135000,0.4030792557
11.09220000,0.402219783
11.11305000,0.3891250614
11.13390000,0.3638274703
11.15475000,0.3244423338
11.17560000,0.2767901349
11.19645000,0.2195204965
11.21730000,0.1554350766
11.23815000,0.08628748974
11.25900000,0.01441092862
11.27985000,-0.05727940185
11.30070000,-0.1255973201
11.32155000,-0.1893363644
11.34240000,-0.248109258
11.36325000,-0.2955771653
11.38410000,-0.3337027738
11.40495000,-0.3596344248
11.42580000,-0.3735285056
11.44665000,-0.3745720569
11.46750000,-0.3627115607
11.48835000,-0.3378344553
11.50920000,-0.3018109529
11.53005000,-0.255461485
11.55090000,-0.1989176394
11.57175000,-0.1346682805
11.59260000,-0.06791494569
11.61345000,0.002265384983
11.63430000,0.07327997077
11.65515000,0.1405745299
11.67600000,0.2045616413
11.69685000,0.2614906495
11.71770000,0.3104577834
11.73855000,0.3475018866
11.75940000,0.3745189676
11.78025000,0.3889123579
11.80110000,0.3916034231
11.82195000,0.3799519252
11.84280000,0.3565336896
11.86365000,0.3216580365
11.88450000,0.2757799467
11.90535000,0.2208479872
11.92620000,0.1601137924
11.94705000,0.09284778908
11.96790000,0.02285493492
11.98875000,-0.04725207105
12.00960000,-0.1143731921
12.03045000,-0.1773381728
12.05130000,-0.2338593201
12.07215000,-0.2822370014
12.09300000,-0.3203767792
12.11385000,-0.3484312946
12.13470000,-0.3636282207
12.15555000,-0.3666744382
12.17640000,-0.3567103168
12.19725000,-0.3344354885
12.21810000,-0.3003654442
12.23895000,-0.2562750422
12.25980000,-0.202022191
12.28065000,-0.1414989321
12.30150000,-0.0759035178
12.32235000,-0.008237377404
12.34320000,0.06075847689
12.36405000,0.1272533767
12.38490000,0.1908984006
12.40575000,0.2478329761
12.42660000,0.2969034844
12.44745000,0.3360511661
12.46830000,0.3643073099
12.48915000,0.3808161833
12.51000000,0.3839507298
12.53085000,0.3751004909
12.55170000,0.3538717955
12.57255000,0.3213365691
12.59340000,0.2781491341
12.61425000,0.2252263021
12.63510000,0.1666222042
12.65595000,0.1026804469
12.67680000,0.03534542249
12.69765000,-0.03344696669
12.71850000,-0.09904268489
12.73935000,-0.1614243203
12.76020000,-0.2183598318
12.78105000,-0.2667803925
12.80190000,-0.3066121632
12.82275000,-0.3345547406
12.84360000,-0.3518374714
12.86445000,-0.3558146625
12.88530000,-0.3486306167
12.90615000,-0.3281667399
12.92700000,-0.2969701779
12.94785000,-0.254415188
12.96870000,-0.2030939556
12.98955000,-0.145850049
13.01040000,-0.08179387909
13.03125000,-0.01556975664
13.05210000,0.05261828836
13.07295000,0.1181980168
13.09380000,0.179693136
13.11465000,0.2368816455
13.13550000,0.2858525394
13.15635000,0.3250685885
13.17720000,0.3537487334
13.19805000,0.3702527995
13.21890000,0.3764992703
13.23975000,0.3696221073
13.26060000,0.3509587355
13.28145000,0.3214217122
13.30230000,0.2806885639
13.32315000,0.2308540423
13.34400000,0.175454111
13.36485000,0.1129120071
13.38570000,0.0469280281
13.40655000,-0.01878055703
13.42740000,-0.08395983649
13.44825000,-0.1442843874
13.46910000,-0.2007362174
13.48995000,-0.2496567195
13.51080000,-0.2898515492
13.53165000,-0.3190496495
13.55250000,-0.33666924
13.57335000,-0.3434728826
13.59420000,-0.3361850256
13.61505000,-0.3177879111
13.63590000,-0.2883434575
13.65675000,-0.2500915773
13.67760000,-0.2011389453
13.69845000,-0.1462185224
13.71930000,-0.08499389418
13.74015000,-0.02066020814
13.76100000,0.0442428902
13.78185000,0.1084707429
13.80270000,0.1688737102
13.82355000,0.2240830901
13.84440000,0.2726262577
13.86525000,0.3119850336
13.88610000,0.3412877576
13.90695000,0.359464959
13.92780000,0.3662397947
13.94865000,0.3614120622
13.96950000,0.3446071459
13.99035000,0.3168847744
14.01120000,0.2780368485
14.03205000,0.2307725557
14.05290000,0.1768173426
14.07375000,0.1164355786
14.09460000,0.05235796954
14.11545000,-0.01165399559
14.13630000,-0.075039418
14.15715000,-0.1354720654
14.17800000,-0.1907289343
14.19885000,-0.2395607588
14.21970000,-0.2788943232
14.24055000,-0.3089453992
14.26140000,-0.328238244
