frequency_Hz,amp_rad
1.88558070,2.516569567e-05
1.89312302,5.828186121e-05
1.90066535,1.878334282e-05
1.90820767,3.904050695e-05
1.91574999,5.125581965e-05
1.92329231,5.224454242e-05
1.93083464,4.630604439e-05
1.93837696,7.070487859e-05
1.94591928,6.466470361e-05
1.95346161,2.536355755e-05
1.96100393,1.508753356e-05
1.96854625,3.529890401e-05
1.97608857,4.922596733e-05
1.98363090,6.286985883e-05
1.99117322,4.480502621e-05
1.99871554,2.255413764e-05
2.00625787,1.055341393e-05
2.01380019,3.90932879e-05
2.02134251,5.405055499e-05
2.02888483,5.691306308e-06
2.03642716,1.873404664e-05
2.04396948,1.959091134e-05
2.05151180,1.124081132e-05
2.05905412,1.276572333e-05
2.06659645,1.764309192e-05
2.07413877,3.509148219e-05
2.08168109,1.90694492e-05
2.08922342,5.451827502e-05
2.09676574,4.007445474e-05
2.10430806,3.017518287e-05
2.11185038,4.114549047e-05
2.11939271,3.205413403e-05
2.12693503,1.745371005e-05
2.13447735,1.255866051e-05
2.14201968,5.321679433e-05
2.14956200,7.077186417e-05
2.15710432,5.722663178e-05
2.16464664,2.274138317e-05
2.17218897,1.880221103e-05
2.17973129,3.044100691e-06
2.18727361,1.795407041e-05
2.19481594,1.983136381e-05
2.20235826,3.124436567e-05
2.20990058,1.584324612e-05
2.21744290,4.42282581e-05
2.22498523,2.331395069e-05
2.23252755,1.536056138e-05
2.24006987,2.315911071e-05
2.24761219,9.948472723e-06
2.25515452,4.608451103e-05
2.26269684,4.860686715e-05
2.27023916,3.62473935e-05
2.27778149,3.908900832e-05
2.28532381,3.08056703e-05
2.29286613,1.798007742e-05
2.30040845,3.998470332e-05
2.30795078,2.933041825e-05
2.31549310,9.560494289e-06
2.32303542,2.921626547e-05
2.33057775,2.395778727e-05
2.33812007,1.050157452e-05
2.34566239,1.653144228e-05
2.35320471,2.479237788e-06
2.36074704,1.910476459e-05
2.36828936,2.073142535e-05
2.37583168,1.364009695e-05
2.38337401,4.522743644e-05
2.39091633,5.109404932e-05
2.39845865,1.623585744e-05
2.40600097,2.391908462e-05
2.41354330,1.201684908e-05
2.42108562,1.202789351e-05
2.42862794,1.802791717e-05
2.43617026,3.447724313e-05
2.44371259,1.144360614e-05
2.45125491,7.062111061e-05
2.45879723,8.058884493e-05
2.46633956,3.916227034e-05
2.47388188,1.938403351e-05
2.48142420,4.711937525e-05
2.48896652,3.643828171e-05
2.49650885,9.170555257e-06
2.50405117,1.745410444e-05
2.51159349,2.082416851e-05
2.51913582,4.063752189e-05
2.52667814,4.932303653e-05
2.53422046,1.180921682e-05
2.54176278,2.943936739e-05
2.54930511,4.734528361e-05
2.55684743,3.733952377e-05
2.56438975,1.505732203e-05
2.57193208,3.567795064e-05
2.57947440,3.735860972e-05
2.58701672,1.792172593e-05
2.59455904,6.126206516e-06
2.60210137,4.289851508e-05
2.60964369,4.166113805e-05
2.61718601,1.364356432e-05
2.62472833,8.408935783e-06
2.63227066,2.901286546e-05
2.63981298,3.484750373e-05
2.64735530,3.815314649e-05
2.65489763,5.168912007e-05
2.66243995,4.056732927e-05
2.66998227,2.710915789e-05
2.67752459,2.97860514e-05
2.68506692,1.838479734e-05
