t_s,theta_rad,amplitude_rad,kind
19.599,0.2813712721828056,0.2826044602421175,peak
19.95345,-0.2810131822171944,0.2797799941578825,trough
20.3079,0.2759717383828056,0.27720492644211747,peak
20.66235,-0.2747653315171944,0.2735321434578825,trough
21.0168,0.2662674197828056,0.2675006078421175,peak
21.37125,-0.27024020771719437,0.2690070196578825,trough
21.7257,0.2591767545828056,0.2604099426421175,peak
22.08015,-0.2642352700171944,0.2630020819578825,trough
22.4346,0.2521302642828056,0.2533634523421175,peak
22.78905,-0.2564791055171944,0.2552459174578825,trough
23.1435,0.24320358338280562,0.2444367714421175,peak
23.49795,-0.24863859881719438,0.2474054107578825,trough
23.8524,0.23941378558280563,0.2406469736421175,peak
24.20685,-0.2435300367171944,0.2422968486578825,trough
24.5613,0.23376709558280562,0.2350002836421175,peak
24.91575,-0.2382982383171944,0.23706505025788252,trough
25.2702,0.2286572379828056,0.22989042604211748,peak
25.62465,-0.22858231221719438,0.2273491241578825,trough
25.9791,0.2234055583828056,0.22463874644211748,peak
26.3127,-0.2215667823171944,0.22033359425788251,trough
26.688,0.2176468597828056,0.21888004784211748,peak
27.0216,-0.2128561724171944,0.21162298435788252,trough
27.37605,0.2132851016828056,0.21451828974211748,peak
27.7305,-0.2090288232171944,0.20779563515788252,trough
28.08495,0.2068082924828056,0.2080414805421175,peak
28.4394,-0.2026790194171944,0.20144583135788252,trough
28.79385,0.2027442094828056,0.2039773975421175,peak
29.1483,-0.19878107331719438,0.1975478852578825,trough
29.50275,0.1951935656828056,0.1964267537421175,peak
29.8572,-0.1977048067171944,0.1964716186578825,trough
30.21165,0.1884582498828056,0.18969143794211749,peak
30.5661,-0.19274118491719439,0.1915079968578825,trough
30.92055,0.1835472618828056,0.18478044994211748,peak
31.25415,-0.1853618201171944,0.18412863205788252,trough
31.6086,0.1780529744828056,0.1792861625421175,peak
31.96305,-0.1809701553171944,0.17973696725788252,trough
32.3175,0.1762839583828056,0.1775171464421175,peak
32.67195,-0.17653560251719438,0.1753024144578825,trough
33.0264,0.1722560787828056,0.1734892668421175,peak
33.38085,-0.1737268752171944,0.17249368715788252,trough
33.7353,0.1683588597828056,0.16959204784211748,peak
34.08975,-0.1689837999171944,0.1677506118578825,trough
34.42335,0.1659901892828056,0.16722337734211748,peak
34.7778,-0.1679968692171944,0.1667636811578825,trough
35.13225,0.1659022731828056,0.16713546124211748,peak
