theta_i_deg,theta_j_deg,pivot_spacing_m,center_distance_m,surface_gap_m,axial_gap_for_table_m,force_x_on_i_N,force_y_on_i_N,tau_mag_i_Nm,tau_mag_j_Nm,tau_gravity_i_Nm,tau_gravity_j_Nm,tau_total_i_pair_Nm,tau_total_j_pair_Nm,invalid_if_surface_gap_lt_0,near_field_if_surface_gap_lt_0p02m
50.0,-76.0,0.06,0.16233884346862512,0.13233884346862512,0.1245942815355249,0.006535206895,-0.024808682955,-0.0018296020992748696,-0.0031704256818961994,-0.06501361965230867,0.08234827347813631,-0.06684322175158354,0.07917784779624011,0,0
50.0,-74.0,0.06,0.1600450405736016,0.1300450405736016,0.12347776572609134,0.006535206895,-0.024808682955,-0.0018296020992748696,-0.0031699579077893738,-0.06501361965230867,0.08158156207179827,-0.06684322175158354,0.0784116041640089,0,0
50.0,-72.0,0.06,0.15770696332788411,0.12770696332788412,0.12221650757399252,0.006535206895,-0.024808682955,-0.0018296020992748696,-0.0031656280282664896,-0.06501361965230867,0.08071545609875203,-0.06684322175158354,0.07754982807048554,0,0
50.0,-70.0,0.06,0.1553255260819657,0.1253255260819657,0.12081204372800491,0.010013499812561371,-0.02723263549885268,-0.0017827678895478347,-0.0035859793313663944,-0.06501361965230867,0.07975101077571232,-0.0667963875418565,0.07616503144434593,0,0
50.0,-68.0,0.06,0.15290167285155823,0.12290167285155823,0.11926608531098376,0.016025348006751077,-0.030343180962572054,-0.0015996661575768552,-0.0042189805227272476,-0.06501361965230867,0.07868940113074391,-0.06661328580988553,0.07447042060801666,0,0
50.0,-66.0,0.06,0.15043637867820206,0.12043637867820206,0.11758051583512355,0.0232166860947025,-0.03262979103164055,-0.0012448568070973726,-0.004851139150457537,-0.06501361965230867,0.0775319205716707,-0.06625847645940605,0.07268078142121316,0,0
50.0,-64.0,0.06,0.14793065118537094,0.11793065118537094,0.11575738890718854,0.03129010078610472,-0.03374989796346576,-0.0007095342313428593,-0.005444248842238044,-0.06501361965230867,0.07627997931025773,-0.06572315388365153,0.07083573046801969,0,0
50.0,-62.0,0.06,0.14538553235946367,0.11538553235946367,0.11379892572650926,0.03987350221026085,-0.03333959507137261,1.1194984307055962e-05,-0.005951673033682406,-0.06501361965230867,0.07493510264408527,-0.06500242466800162,0.06898342961040287,0,0
50.0,-59.99999999999999,0.06,0.1428021005900167,0.11280210059001669,0.11170751237879326,0.048422597225968075,-0.031191322110210945,0.0008937418944691255,-0.006330746468183596,-0.06501361965230867,0.0734989290982087,-0.06411987775783955,0.0671681826300251,0,0
50.0,-58.00000000000001,0.06,0.14018147300934652,0.11018147300934653,0.1094856969290472,0.05634723469781694,-0.027324239240931282,0.001889409644894955,-0.006554194504029698,-0.06501361965230867,0.07197320842886806,-0.06312421000741372,0.06541901392483837,0,0
50.0,-56.0,0.06,0.137524808178838,0.107524808178838,0.1071361863171521,0.06308758775972294,-0.02189192247888347,0.002939184526419066,-0.006603087131071393,-0.06501361965230867,0.07035979949167971,-0.06207443512588961,0.06375671236060831,0,0
50.0,-54.0,0.06,0.13483330917747374,0.10483330917747374,0.10466184305987425,0.06817346962737253,-0.01521681937238114,0.003975186042611602,-0.006473894533666878,-0.06501361965230867,0.06866066797690701,-0.061038433609697074,0.06218677344324013,0,0
50.0,-52.0,0.06,0.1321082271582432,0.10210822715824319,0.10206568176332928,0.07129027770747257,-0.007748694087195165,0.004929839879270975,-0.006179096085247836,-0.06501361965230867,0.06687788401456957,-0.0600837797730377,0.06069878792932173,0,0
50.0,-50.0,0.06,0.12935086545014898,0.09935086545014898,0.09935086545014898,0.0723187729,0.0,0.005745156684235159,-0.005745156684235159,-0.06501361965230867,0.06501361965230867,-0.05926846296807352,0.05926846296807352,0,0
50.0,-48.00000000000001,0.06,0.12656258429808612,0.09656258429808612,0.09652070170582563,0.07134000782556783,0.007527954830864318,0.00638011389222051,-0.0052082583468318145,-0.06501361965230867,0.06307014620908183,-0.05863350576008816,0.057861887862250015,0,0
50.0,-46.0,0.06,0.12374480635046756,0.09374480635046756,0.0935786386489284,0.06860537444675083,0.014411722117611133,0.006814592463973269,-0.004608717113458063,-0.06501361965230867,0.06104983150791049,-0.0581990271883354,0.05644111439445243,0,0
50.0,-44.0,0.06,0.12089902302580022,0.09089902302580022,0.09052826073010196,0.0644805614645024,0.020351302872412106,0.0070492409514165836,-0.0039853117287809575,-0.06501361965230867,0.05895513699105238,-0.05796437870089209,0.05496982526227142,0,0
50.0,-42.0,0.06,0.11802680191533103,0.08802680191533103,0.08737328436496579,0.05937821125519693,0.025187042358622257,0.007101725158734075,-0.0033706934921084266,-0.06501361965230867,0.056788614721113365,-0.057911894493574596,0.05341792122900494,0,0
50.0,-40.0,0.06,0.11512979541044938,0.08512979541044938,0.08411755340623388,0.05369528861635787,0.02888846026054734,0.007000695074198824,-0.0027886641387401684,-0.06501361965230867,0.05455290427175216,-0.05801292457810985,0.05176424013301199,0,0
50.0,-38.0,0.06,0.11220975078207156,0.08220975078207156,0.08076503446057261,0.047751789920002216,0.03143959392650648,0.006770060617258811,-0.0022583325317377763,-0.06501361965230867,0.05225072951176656,-0.058243559035049866,0.04999239698002879,0,0
50.0,-36.0,0.06,0.10926852198637374,0.07926852198637374,0.07731981205590126,0.041869850367964784,0.03298978845624497,0.006449552203437604,-0.001789893332888804,-0.06501361965230867,0.04988489528647874,-0.05856406744887107,0.04809500195358994,0,0
50.0,-34.0,0.06,0.10630808352901011,0.07630808352901011,0.07378608366502411,0.03625648779483005,0.033707844526340916,0.006071597045632732,-0.0013852959850622127,-0.06501361965230867,0.04745828400046341,-0.05894202260667594,0.046072988015401196,0,0
50.0,-32.0,0.06,0.10333054679083048,0.07333054679083048,0.07016815459165629,0.031066404266370404,0.03373334425873987,0.005661700001818787,-0.0010467895058584023,-0.06501361965230867,0.044973852105781725,-0.05935191965048989,0.04392706259992332,0,0
50.0,-29.999999999999996,0.06,0.10033817930514105,0.07033817930514105,0.0664704327250745,0.026383814076535908,0.03323860288987987,0.0052428652536737255,-0.0007699350242285716,-0.06501361965230867,0.0424346265,-0.05977075439863495,0.04166469147577143,0,0
50.0,-28.0,0.06,0.09733342758339801,0.06733342758339801,0.06269742316978275,0.02222602894328904,0.03240229527225935,0.004833384199762499,-0.0005453362471690413,-0.06501361965230867,0.03984370083838116,-0.06018023545254617,0.039298364591212116,0,0
50.0,-26.0,0.06,0.09431894421725934,0.06431894421725934,0.05885372275673657,0.018597806604442876,0.031334685544696116,0.0044440741099232555,-0.0003682210568266794,-0.06501361965230867,0.03720423176474236,-0.06056954554238542,0.03683601070791568,0,0
50.0,-24.000000000000004,0.06,0.09129762014520446,0.06129762014520446,0.05494401444281265,0.01549865162928639,0.030122693663388385,0.004083124810555172,-0.00023565146232184479,-0.06501361965230867,0.03451943506557079,-0.0609304948417535,0.03428378360324895,0,0
