theta_i_deg,theta_j_deg,pivot_spacing_m,center_distance_m,surface_gap_m,axial_gap_for_table_m,force_x_on_i_N,force_y_on_i_N,tau_mag_i_Nm,tau_mag_j_Nm,tau_gravity_i_Nm,tau_gravity_j_Nm,tau_total_i_pair_Nm,tau_total_j_pair_Nm,invalid_if_surface_gap_lt_0,near_field_if_surface_gap_lt_0p02m
-48.00000000000001,-64.0,0.05,0.04194933621253584,0.011949336212535841,0.000763312798637103,-0.2579079887222581,-0.35639159480812876,0.011404445299535399,-0.02561566170367317,0.06307014620908183,0.07627997931025773,0.07447459150861722,0.05066431760658456,0,1
-48.00000000000001,-62.0,0.05,0.040983078812657635,0.010983078812657636,0.0027217759793163876,-0.08107584360530072,-0.5685032488957502,0.045509535725210916,-0.05733287847920491,0.06307014620908183,0.07493510264408527,0.10857968193429274,0.017602224164880366,0,1
-48.00000000000001,-59.99999999999999,0.05,0.04060649403481058,0.010606494034810579,0.004813189327032383,-0.16607606114924678,-0.6082559128872885,0.04213129446240743,-0.05484022511927998,0.06307014620908183,0.0734989290982087,0.10520144067148926,0.018658703978928715,0,1
-48.00000000000001,-58.00000000000001,0.05,0.040836357199588995,0.010836357199588996,0.0070350047767784585,-0.3592257220799281,-0.5516813351335643,0.020962125147203425,-0.03429519618824654,0.06307014620908183,0.07197320842886806,0.08403227135628526,0.03767801224062152,0,1
-48.00000000000001,-56.0,0.05,0.04166235801369336,0.011662358013693364,0.009384515388673548,-0.4769759766430864,-0.43390136323251505,0.00040689886498273403,-0.01149374043291139,0.06307014620908183,0.07035979949167971,0.06347704507406457,0.05886605905876832,0,1
-48.00000000000001,-54.0,0.05,0.04304923173078548,0.013049231730785482,0.011858858645951403,-0.5136460803666524,-0.29240914210558316,-0.015621031040455122,0.008076560235731816,0.06307014620908183,0.06866066797690701,0.04744911516862671,0.07673722821263883,0,1
-48.00000000000001,-52.0,0.05,0.044943495245548755,0.014943495245548756,0.014455019942496386,-0.4818543466805878,-0.16103026065175513,-0.025058451670227078,0.020981328145875056,0.06307014620908183,0.06687788401456957,0.03801169453885475,0.08785921216044462,0,1
-48.00000000000001,-50.0,0.05,0.047282060408393736,0.017282060408393737,0.017169836255676668,-0.41027095253884877,-0.062352189843861615,-0.028201772717466267,0.02668957396874185,0.06307014620908183,0.06501361965230867,0.03486837349161556,0.09170319362105052,0,1
-48.00000000000001,-48.00000000000001,0.05,0.05,0.020000000000000004,0.020000000000000004,-0.327211009752454,0.0,-0.027059647539447465,0.027059647539447465,0.06307014620908183,0.06307014620908183,0.036010498669634364,0.0901297937485293,0,0
-48.00000000000001,-46.0,0.05,0.0530359869954831,0.0230359869954831,0.02294206305689725,-0.2490106956407207,0.033172464051071604,-0.02363938344836742,0.024327410826789096,0.06307014620908183,0.06104983150791049,0.03943076276071441,0.0853772423346996,0,0
