time_s,theta1,theta2,theta3,theta4,theta5
1.9,-0.6325783748,-0.1974345137,0.03827620027,0.2717246724,0.5526981209
1.91666667,-0.5235619802,-0.2343067485,-0.005819213334,0.2292435948,0.5384712581
1.93333333,-0.40758088,-0.2676426879,-0.04939070963,0.1842805461,0.5156309402
1.95,-0.3015881496,-0.2825758767,-0.09080433824,0.1384183248,0.4841165948
1.96666667,-0.2518157013,-0.2373310482,-0.1267147637,0.09320237431,0.4442886728
1.98333333,-0.2624303377,-0.1461728783,-0.140536495,0.05036473161,0.396868846
2.0,-0.2905830833,-0.09872648284,-0.0899471595,0.01365335036,0.3429320714
2.01666667,-0.3215042262,-0.1091124736,0.003725938449,0.002436103031,0.2839932928
2.03333333,-0.3523513267,-0.1344168914,0.04757186166,0.06125888203,0.2229378827
2.05,-0.38205543,-0.1600357446,0.0341814111,0.1683541988,0.1733048667
2.06666667,-0.4097495838,-0.1839274054,0.008504953949,0.2272889158,0.1840281673
2.08333333,-0.4346465103,-0.2058405439,-0.01602229112,0.2126010696,0.2668389753
2.1,-0.4560807414,-0.2256461672,-0.03770082497,0.1528141064,0.3899778244
2.11666667,-0.4735403113,-0.2431748543,-0.05840579054,0.09067533549,0.5120390646
2.13333333,-0.4867016214,-0.2583720938,-0.08187166936,0.0379075652,0.6249411358
2.15,-0.4954453234,-0.2716301784,-0.1115019733,0.001282305189,0.7260003272
2.16666667,-0.4998879607,-0.284292996,-0.1460741667,-0.01637535056,0.8130192982
2.18333333,-0.500509701,-0.2986732921,-0.178400726,-0.01745240993,0.8842341683
2.2,-0.4983589977,-0.316594574,-0.1999051249,-0.006384982754,0.9384582248
2.21666667,-0.4953326882,-0.3364895733,-0.2060030096,0.01318231649,0.9749610498
2.23333333,-0.4941218546,-0.3526387383,-0.1972694257,0.03885666439,0.9932859141
2.25,-0.4972065391,-0.3583756892,-0.1767706233,0.06902515571,0.9932170735
2.26666667,-0.5049183678,-0.3501217643,-0.1475904171,0.1024782541,0.9747659913
2.28333333,-0.5147502243,-0.3285931723,-0.112113468,0.1382293979,0.9381764222
2.3,-0.5229501817,-0.2968801017,-0.07218739867,0.1754233754,0.8839407912
2.31666667,-0.5262665446,-0.2582927545,-0.02940496672,0.2132861526,0.8128518694
2.33333333,-0.5225421852,-0.2155543279,0.01476506698,0.2508962845,0.7262545973
2.35,-0.5105787819,-0.1708122229,0.05886955868,0.2872164725,0.6260377968
2.36666667,-0.4898784315,-0.1258333257,0.1014881439,0.3203764976,0.5154054312
2.38333333,-0.4605639135,-0.08205672605,0.1411419037,0.3424087396,0.4041958432
2.4,-0.423258069,-0.04069612425,0.1756021395,0.3222671741,0.3264475004
2.41666667,-0.3787946726,-0.003114952509,0.1965663415,0.2389614849,0.3132642237
2.43333333,-0.3281747133,0.02837278251,0.168728379,0.1650077944,0.330489029
2.45,-0.2725595557,0.04409107737,0.07734282622,0.1516037884,0.3529846702
2.46666667,-0.2138919523,0.004285081315,0.003162213215,0.1650983009,0.3756830638
2.48333333,-0.1589937097,-0.1028445569,-0.008132732178,0.1804821625,0.3972631626
2.5,-0.1470004979,-0.1921296642,0.002937790046,0.1939023985,0.4168594008
2.51666667,-0.2088716864,-0.2096753841,0.01457152383,0.205071274,0.4337007957
2.53333333,-0.3309457689,-0.164227809,0.02382208865,0.2140933172,0.4471146903
2.55,-0.4618960552,-0.1076813141,0.03295186388,0.2210610924,0.4565760199
2.56666667,-0.5854390539,-0.06063256351,0.04712281668,0.2261930815,0.4617614692
2.58333333,-0.6980077233,-0.03164118382,0.07122104419,0.2303078856,0.4625749806
2.6,-0.7971236818,-0.02312547113,0.1034798445,0.2354293615,0.4592084512
2.61666667,-0.8807332801,-0.03082295745,0.1341186703,0.2449674217,0.4522630444
2.63333333,-0.9473933799,-0.04905687043,0.1526136448,0.2616260073,0.4430464834
2.65,-0.9962020366,-0.07381824906,0.1545475513,0.2831173223,0.4340333013
2.66666667,-1.026559135,-0.102694182,0.1419743577,0.3013718542,0.4290482213
2.68333333,-1.038116966,-0.1341259435,0.1190552919,0.3075646902,0.431852889
2.7,-1.030753552,-0.1669869442,0.08914882919,0.2977912746,0.4429721282
2.71666667,-1.004565512,-0.2003774558,0.05451442919,0.2741299519,0.4587093454
2.73333333,-0.9598792609,-0.2335773323,0.01679456589,0.2411487387,0.4740251416
2.75,-0.8972739287,-0.2660205031,-0.02261482018,0.2029380266,0.4850016514
2.76666667,-0.8176687159,-0.2972316272,-0.06240608547,0.1624853847,0.4892345598
2.78333333,-0.7226087036,-0.3265919185,-0.1012397793,0.1219579104,0.485418851
2.8,-0.6144229159,-0.3531546902,-0.1377791585,0.08290351565,0.4730989111
2.81666667,-0.4987158257,-0.3732801375,-0.1706763329,0.04641767829,0.4524929152
2.83333333,-0.3937079364,-0.3712594156,-0.1983761966,0.01355796309,0.4240598439
2.85,-0.3413790781,-0.3106674065,-0.2170333112,-0.01461498971,0.3884399589
2.86666667,-0.3387007736,-0.2157560752,-0.2081203846,-0.03672165782,0.3464381453
2.88333333,-0.349402898,-0.1666497293,-0.134150045,-0.04855207422,0.2990030495
2.9,-0.3623475156,-0.1613350639,-0.03282254525,-0.02818619544,0.2473447603
2.91666667,-0.3752091953,-0.1637957379,0.01372749948,0.06318325597,0.1947802214
2.93333333,-0.3869076157,-0.165635371,0.02097597541,0.1787647934,0.1612315115
2.95,-0.3965599339,-0.1661956025,0.02252186642,0.2341712165,0.194610791
2.96666667,-0.4034210969,-0.1657771053,0.02481912952,0.217562193,0.2983797393
2.98333333,-0.4069695259,-0.1646304193,0.02632440324,0.1669902239,0.433073426
3.0,-0.4069017298,-0.163027999,0.02096476479,0.1217367234,0.5638690065
3.01666667,-0.4031473237,-0.1617844656,0.001753168151,0.09467396049,0.6842584244
3.03333333,-0.3959175488,-0.1630671026,-0.03059005454,0.08913358713,0.7915085106
3.05,-0.3858247469,-0.1709122348,-0.06457570778,0.09961710905,0.8833759337
3.06666667,-0.3742292907,-0.1891883791,-0.08719943457,0.1191573582,0.9582515439
3.08333333,-0.3638421234,-0.2159993949,-0.09283934127,0.1432469983,1.015125505
3.1,-0.3593078829,-0.24168886,-0.08403144911,0.1694100457,1.053312723
3.11666667,-0.3658501204,-0.2550165344,-0.06562560368,0.1961866559,1.072390037
3.13333333,-0.384698139,-0.2508148301,-0.04118916222,0.2225881093,1.072161124
3.15,-0.4111033299,-0.2319260924,-0.0128900702,0.2479223942,1.052639705
3.16666667,-0.438572705,-0.2041522562,0.01781151857,0.2717395826,1.014055352
3.18333333,-0.4623316152,-0.1721755838,0.04968587257,0.2937940122,0.956873598
3.2,-0.4795430876,-0.1390905848,0.08154417682,0.3140315187,0.8818315757
3.21666667,-0.4886516216,-0.106931403,0.1121219937,0.3324459698,0.7901287698
3.23333333,-0.4891280164,-0.07690646033,0.1401078589,0.3488273897,0.6836476574
3.25,-0.480949732,-0.04988147081,0.164207297,0.362029323,0.5657247928
3.26666667,-0.4642977547,-0.02668195029,0.1831845466,0.3658603021,0.4451917296
3.28333333,-0.4395472953,-0.008096657998,0.1952758041,0.336329444,0.3495691128
3.3,-0.4072591147,0.005013760175,0.1938759871,0.2478899893,0.3137805531
3.31666667,-0.3681637687,0.01094859422,0.1506504973,0.160008651,0.3108766702
3.33333333,-0.3231482505,0.001904135033,0.04813574424,0.1263657721,0.3157176963
3.35,-0.2738247447,-0.05507795085,-0.04004418774,0.1160688743,0.3225604921
3.36666667,-0.2269839669,-0.1714733429,-0.0713343785,0.1091146406,0.3296953043
3.38333333,-0.221201466,-0.2651361716,-0.08307213739,0.1028542368,0.3360049331
3.4,-0.2845362162,-0.2898309708,-0.09155785161,0.09749689136,0.3406276749
3.41666667,-0.4062945651,-0.2519187873,-0.09810074821,0.09339432216,0.3429527006
3.43333333,-0.5374890582,-0.2027651521,-0.09776081144,0.09078086738,0.3426259146
3.45,-0.6600412021,-0.1678486751,-0.08208247611,0.09013657165,0.3395604927
3.46666667,-0.7700471155,-0.1546902189,-0.04815305692,0.09307626323,0.3339306251
3.48333333,-0.8651547621,-0.1588200483,-0.006280756469,0.1032026807,0.3262893069
3.5,-0.9435704696,-0.1721680083,0.02823049123,0.1251722804,0.3178299168
3.51666667,-1.004171579,-0.1893418038,0.04643669845,0.159115422,0.3110383464
3.53333333,-1.046213315,-0.2075673712,0.04918991092,0.1959829957,0.3106187158
3.55,-1.069221711,-0.2253968028,0.04150842641,0.2223683895,0.3229766922
3.56666667,-1.07295578,-0.2420020112,0.02735091015,0.2303341255,0.3509664926
3.58333333,-1.057386296,-0.2569154037,0.008963734431,0.2220954318,0.3896491061
3.6,-1.022697494,-0.2699176055,-0.01232885637,0.204252713,0.4311290013
3.61666667,-0.9693045471,-0.2810519875,-0.03543699019,0.1820773434,0.4695047626
3.63333333,-0.897884453,-0.2905933122,-0.05922495497,0.1587480727,0.5012790401
3.65,-0.809489689,-0.2989831449,-0.08237487903,0.1361042879,0.5244753965
3.66666667,-0.7058246172,-0.3065190018,-0.1034325672,0.1150445158,0.5382451346
3.68333333,-0.5892897331,-0.3132321133,-0.1209694878,0.09614647986,0.5422689663
3.7,-0.4648920931,-0.3169209198,-0.1337883205,0.07997935875,0.5364518178
3.71666667,-0.3468678522,-0.306397125,-0.1408889334,0.06713457007,0.5209218398
3.73333333,-0.2731276927,-0.2485863164,-0.1400871814,0.05825314528,0.496029512
3.75,-0.2547151933,-0.1476151934,-0.1198894856,0.05425588219,0.4623388058
3.76666667,-0.2553247714,-0.07961339492,-0.04656461195,0.05794477018,0.4206128343
3.78333333,-0.2609625185,-0.05686831083,0.06022780002,0.08350420177,0.3718895868
3.8,-0.2684280574,-0.04687234834,0.1235885344,0.1666801013,0.3190139449
3.81666667,-0.2763134528,-0.04047784508,0.1435601933,0.2789426911,0.2773759284
3.83333333,-0.283638932,-0.03682240735,0.1514729401,0.3392571018,0.2932733969
3.85,-0.2897016826,-0.03607767425,0.1551291555,0.3319519551,0.3732331691
3.86666667,-0.2940793066,-0.0383202865,0.153129719,0.2782932742,0.4942379691
3.88333333,-0.2965900282,-0.04361665304,0.1382942955,0.226638867,0.613844772
