time1_s,bob1,time2_s,bob2,time3_s,bob3,time4_s,bob4,time5_s,bob5
36.8269300000037,-0.6744006029989736,36.8269300000037,-0.5906638585629402,36.8269300000037,0.1124417839604045,36.8269300000037,0.3719302166457618,36.8269300000037,-0.1238662309647199
36.8352600000037,-0.6612562144286823,36.8352600000037,-0.5849019120300355,36.8352600000037,0.0426096854245326,36.8352600000037,0.2733782957616114,36.8352600000037,-0.1669746175481793
36.8435900000037,-0.643146424246423,36.8435900000037,-0.5737926098888538,36.8435900000037,-0.0303078420973157,36.8435900000037,0.1670438212854999,36.8435900000037,-0.2065210666650034
36.8519200000037,-0.6169026029491507,36.8519200000037,-0.5547898107950258,36.8519200000037,-0.1060081597376115,36.8519200000037,0.0536864318813512,36.8519200000037,-0.2401654124704029
36.8602500000037,-0.5852817636468832,36.8602500000037,-0.530323724902549,36.8602500000037,-0.1839618456014586,36.8602500000037,-0.0658032487390969,36.8602500000037,-0.2694343241443012
36.8685800000037,-0.5508695321269884,36.8685800000037,-0.5031359868204472,36.8685800000037,-0.2624428798090207,36.8685800000037,-0.1890416479050359,36.8685800000037,-0.2960731369404583
36.8769100000037,-0.5088585680797347,36.8769100000037,-0.4682395519435622,36.8769100000037,-0.340407248379287,36.8769100000037,-0.3137510914670773,36.8769100000037,-0.3206259590621108
36.885240000003705,-0.4633235844763078,36.885240000003705,-0.4303507963358088,36.885240000003705,-0.4166223501395508,36.885240000003705,-0.4383326375243884,36.885240000003705,-0.3423869258992946
36.893570000003706,-0.4161253339501403,36.893570000003706,-0.3919674904688671,36.893570000003706,-0.4911562089068156,36.893570000003706,-0.5589217367342016,36.893570000003706,-0.3629243911162971
36.90190000000371,-0.3597864728216181,36.90190000000371,-0.3493551682051757,36.90190000000371,-0.562230613351846,36.90190000000371,-0.6749562900263132,36.90190000000371,-0.3826022679205923
36.91023000000371,-0.3014817935000727,36.91023000000371,-0.3083844516916758,36.91023000000371,-0.6287547010212562,36.91023000000371,-0.7839294474827012,36.91023000000371,-0.4017231351877604
36.91856000000371,-0.2438050022089283,36.91856000000371,-0.2727502696153606,36.91856000000371,-0.6888187019349097,36.91856000000371,-0.8840912741827385,36.91856000000371,-0.4217179892177518
36.92689000000371,-0.1773799135201109,36.92689000000371,-0.2369516048896296,36.92689000000371,-0.7420880316544354,36.92689000000371,-0.974821592170532,36.92689000000371,-0.4410248935978646
36.93522000000371,-0.1113727314429021,36.93522000000371,-0.2071874012272391,36.93522000000371,-0.7879807371181661,36.93522000000371,-1.0536233858505697,36.93522000000371,-0.4599260637383363
36.94355000000371,-0.04875389876945,36.94355000000371,-0.1847748761037606,36.94355000000371,-0.8262525897314326,36.94355000000371,-1.1187897042634782,36.94355000000371,-0.4769160395434927
36.95188000000371,0.0202411082657069,36.95188000000371,-0.1664152682126569,36.95188000000371,-0.8563958094470593,36.95188000000371,-1.1710637358253249,36.95188000000371,-0.4937308850129377
36.96021000000371,0.0870374180876619,36.96021000000371,-0.1540047522256634,36.96021000000371,-0.878090688140277,36.96021000000371,-1.2092032795340988,36.96021000000371,-0.511153624834943
36.96854000000371,0.1475158950190456,36.96854000000371,-0.1490551262658989,36.96854000000371,-0.8911346698206888,36.96854000000371,-1.23144056530911,36.96854000000371,-0.528408833767083
36.976870000003714,0.2103831511578124,36.976870000003714,-0.1490306657537525,36.976870000003714,-0.8947212561519566,36.976870000003714,-1.2380484477214138,36.976870000003714,-0.5472297510664852
36.98520000000372,0.2684482282817159,36.98520000000372,-0.1538730043712711,36.98520000000372,-0.8895371791319961,36.98520000000372,-1.229343033218156,36.98520000000372,-0.566014291526531
36.99353000000372,0.3187488038947257,36.99353000000372,-0.1611628592744122,36.99353000000372,-0.8768207122878643,36.99353000000372,-1.2041132837591415,36.99353000000372,-0.5842169581708963
37.00186000000372,0.3679836585725639,37.00186000000372,-0.1731290265372957,37.00186000000372,-0.8550316842730141,37.00186000000372,-1.164447739712025,37.00186000000372,-0.6015866909673279
37.01019000000372,0.4089393618982364,37.01019000000372,-0.1867486297908603,37.01019000000372,-0.8257466420747039,37.01019000000372,-1.1108869631235578,37.01019000000372,-0.6197104930252535
37.01852000000372,0.4407915736753318,37.01852000000372,-0.2000188704720987,37.01852000000372,-0.7885668460248807,37.01852000000372,-1.0449143208035176,37.01852000000372,-0.6365504240752502
37.02685000000372,0.4672854075858396,37.02685000000372,-0.2128235209890235,37.02685000000372,-0.7441127257037012,37.02685000000372,-0.9684100271104058,37.02685000000372,-0.6501028562415825
37.03518000000372,0.4830622681091869,37.03518000000372,-0.2221803126614222,37.03518000000372,-0.6940075907081049,37.03518000000372,-0.8823628789611005,37.03518000000372,-0.6601518697305906
