f_Hz,bob1,bob2,bob3,bob4,bob5
1.1136179889394342,0.00021291284840244053,0.0005213849052257964,0.0006102794088057252,0.00027601501733571593,0.000521082499922764
1.1208026211261402,0.00011644896932620167,0.0007356733996908293,0.00033424539129269697,0.00034455862596126293,0.0004696642441336174
1.1279872533128463,0.0008620861877218479,0.0007154093545426336,0.0005873094376626801,0.0003996593151873504,0.0004812238690564837
1.1351718854995523,0.0005075438836700352,0.0008997357276049534,0.0006904662269972193,0.0008819190176133282,0.0010811038904472148
1.1423565176862582,0.0013591832352940316,0.0016893464629394947,0.0011906541144392924,0.0014311257053259542,0.0010623933750893925
1.1495411498729644,0.0009547107045075171,0.0011379810913513897,0.0010343549681978692,0.001301828929610373,0.0011111106633955492
1.1567257820596704,0.000709010417941767,0.0003360999541996417,0.0005847397148131595,0.0004975359655675172,0.0006677467608843808
1.1639104142463763,0.0009389741002172249,0.0004940976588262962,0.000864224714522765,0.00012069331365574765,0.0007239301988239751
1.1710950464330825,0.00042628637622296316,0.00010497448940412728,0.0004975036161942963,0.0004004800539375932,0.0007385944073479078
1.1782796786197884,9.866028235939839e-05,0.0002711760949278846,0.0001317879035110289,0.0006050192905334895,0.0003465311784159521
1.1854643108064944,6.829605728592118e-05,0.00043343850273087106,3.6336764247646036e-05,0.0005205045959750315,0.00042894663665632015
1.1926489429932006,9.543633872673153e-05,0.00019891914507648613,0.00025154082829059656,0.00014444956383347738,0.00011725078145283001
1.1998335751799065,0.000352664110474499,0.0003784058234193538,8.443332949687905e-05,0.0004100981342385499,0.00022395071692875356
1.2070182073666125,0.00021272138499574812,0.00039000914289902565,0.00032987046885834024,0.000478876485186457,0.0005808370341326645
1.2142028395533186,0.0001440139374627205,0.0005070697665893255,0.000303248638733309,0.0003478449011590892,0.0006229848784739443
1.2213874717400246,0.0003330660740584544,0.00011988376144544449,0.00021088750347976305,0.00013197062781318533,0.00044438061566585155
1.2285721039267306,0.0005806658787906737,0.0007045441862931223,0.00046230772243683064,0.00023362359698405444,0.00018633597878301648
1.2357567361134367,0.00030632196981326656,0.0008746353951217481,0.0005885686955717285,0.0006432828505595094,0.00039652478450369105
1.2429413683001427,0.0006099475237993818,0.0007910471278707507,0.0005159554530538027,0.00039417844010659274,0.0007943207648661065
1.2501260004868486,0.0005730704650275078,0.0004493856487386366,0.0009605353016546743,0.0006232634402123294,0.0012538402959593993
1.2573106326735548,0.0011870520206292883,0.0018808163139645852,0.0024477582851154265,0.002126120088574966,0.0013688814432276347
1.2644952648602608,0.0023871997518592684,0.002792775580481035,0.0033638438831546714,0.003669788597963767,0.0017998759796687737
1.2716798970469667,0.001518149474461938,0.0018407950143118428,0.001995288087843699,0.002467117174954606,0.0012816543841396902
