t_s,bob1,bob2,bob3,bob4,bob5
120.83498000001214,0.08969439374167676,0.023868521965612784,0.47587851443068485,0.17908014558520055,0.23147842426011309
120.84331000001214,0.09580581736903532,0.023195461920910192,0.4630204279209495,0.19365896376301336,0.22431932900730542
120.85164000001214,0.10484563853908256,0.02576449695821367,0.4323246649196467,0.1920954033718238,0.2449697961901891
120.85997000001214,0.11150116068330154,0.03212748732567543,0.3902667069971377,0.18664882269623026,0.279455822273995
120.86830000001214,0.12018885261594264,0.041372941124410985,0.3606793922198888,0.1943972628273371,0.2833615511858103
120.87663000001214,0.13687185555026238,0.06002368764834952,0.3750996488675698,0.19515449755274802,0.23285031035034198
120.88496000001214,0.1494043445551999,0.091625765605848,0.40127007437512624,0.1733680452312681,0.18433177019897748
120.89329000001214,0.14905185673206606,0.12521357344552667,0.40997866318535914,0.15412946211811185,0.16162644448576793
120.90162000001214,0.14205686757966907,0.16215047328562138,0.40724636167605166,0.1394567589478519,0.14908953847991163
120.90995000001215,0.13582122476754954,0.19566507355146145,0.39218930879742986,0.131016553274882,0.1453078395798503
120.91828000001215,0.12964626658787923,0.22223283423219856,0.36045618214262914,0.13349232388225846,0.15417239312900274
120.92661000001215,0.12025512677896519,0.2503633617856137,0.33088093265238716,0.13342262188883414,0.16507795687159113
120.93494000001215,0.11037999375040727,0.2623912734030572,0.3100160994419426,0.14631883391412612,0.17089379947024952
120.94327000001215,0.10464732029160986,0.2595820597186288,0.2954377740558364,0.17701129289303363,0.1633215530226759
120.95160000001215,0.09962119933717835,0.2410426752290273,0.28252245923786473,0.19922281714799908,0.17759084903107103
120.95993000001215,0.0871131305282419,0.20622032904281862,0.25851171197655937,0.2394356223917937,0.20871920604415445
120.96826000001215,0.08038926148878138,0.18132932662209741,0.22899696509330336,0.28242508834167457,0.22685935843801197
120.97659000001215,0.07902059547607279,0.1775618663093212,0.21240219323933926,0.30447347308886274,0.22654187186949373
120.98492000001215,0.062480526552648144,0.17970025614604837,0.21482029566886338,0.3227981378997085,0.22020078371459245
120.99325000001215,0.050871276087125036,0.1929503083222411,0.21833060249200584,0.30731463772474477,0.2305331753545363
121.00158000001215,0.04257251176915184,0.22988734602341637,0.199064426430546,0.2741695463613053,0.25430616939491235
121.00991000001216,0.029985044855721718,0.28338740404893475,0.16913338896959323,0.23724372178976758,0.280250440313528
121.01824000001216,0.022540660579131306,0.37854420136767125,0.14265175191695684,0.1649972642828748,0.29126612183064005
121.02657000001216,0.016262164150817306,0.4613726529826294,0.11995311690955483,0.10332919395819017,0.2990828719778366
121.03490000001216,0.01042208239494899,0.5243773267465687,0.10689649173837378,0.07357122658612031,0.2847328725126974
121.04323000001216,0.005486605788221164,0.6226483817695357,0.10223718214590527,0.04732315811553655,0.22230467216061536
121.05156000001216,0.003974700701266801,0.6890252403406919,0.10008174134673968,0.02968539248906431,0.1772329251044981
121.05989000001216,0.003956240825054446,0.7175603377881373,0.0973754093740395,0.028983748219670456,0.15212426377541188
121.06822000001216,0.0033807591909044274,0.7632636800082264,0.09566625177135754,0.03623375977222297,0.10145554924109944
121.07655000001216,0.0034281188524960425,0.7692559380587747,0.10549792594249034,0.05316886471433535,0.06864915241753712
121.08488000001216,0.003746504722488449,0.7270459631087268,0.12570072979307353,0.0735322298075746,0.06997457255257174
121.09321000001216,0.003780739878896936,0.687535253338444,0.1367984349276271,0.10060896122909772,0.07127661061011911
121.10154000001216,0.0046110268519783644,0.6398764332105344,0.14393103128740545,0.13156214957043952,0.0800193590642058
121.10987000001217,0.007246749431047682,0.5517881350498703,0.16094913371503386,0.174055490753568,0.1059604910338518
121.11820000001217,0.012425494614826896,0.49431622872286557,0.16124529060326082,0.21515237706242404,0.11686060897958891
121.12653000001217,0.01863296791806282,0.47212666623497485,0.15578658609367677,0.2312210065857255,0.1222327731496909
121.13486000001217,0.0258556516245433,0.43568438614622623,0.16490531902073305,0.22872237689008715,0.14483226629792195
121.14319000001217,0.04522423229019921,0.4102096892279838,0.17326929717285003,0.20005165332447267,0.17124512796154517
121.15152000001217,0.07849197726714974,0.40126772151538115,0.17769136015281273,0.15831541522863843,0.18423352581100388
121.15985000001217,0.10478772497191001,0.4103133729032049,0.18471909051052718,0.11965898558169423,0.18052082600504724
121.16818000001217,0.1393186332292148,0.4163392093003915,0.1906021430663907,0.09485420330033145,0.15888581107444416
121.17651000001217,0.18512047146762922,0.4224670576555298,0.19764266309324008,0.07069402278346183,0.1240757849702132
121.18484000001217,0.19628363940914495,0.44075794253924466,0.21194233842057356,0.049439822614967245,0.10157625698631026
121.19317000001217,0.18444106350335263,0.44025059209062245,0.20602080459841554,0.045225542627449794,0.12406199715307822
121.20150000001217,0.16466418417197679,0.42021961235798594,0.2012086101134937,0.05856029589009823,0.15534729744313072
121.20983000001218,0.1366705568534684,0.37806230948807146,0.22493567960542346,0.09598195452561192,0.16434949950694483
121.21816000001218,0.12010661192657295,0.3426503563575434,0.24161045041857693,0.12840753319853504,0.16722504808092944
121.22649000001218,0.10975652099378888,0.3155195195583276,0.264067097592062,0.1588048506633468,0.15185201117664313
121.23482000001218,0.09738371104018295,0.28347964770681666,0.2966275241375258,0.2050823964382962,0.11742672066236194
121.24315000001218,0.08893162807004248,0.2814686735651502,0.3056545451918139,0.23427588511734473,0.08966926804185268
121.25148000001218,0.08379531513919115,0.27385197950982165,0.3102491925676765,0.252058364512091,0.0800451482577267
121.25981000001218,0.0840629124950771,0.2351310528321327,0.31371673576449954,0.28929216143686903,0.07779713745700961
121.26814000001218,0.08589805648135732,0.24674726891717866,0.28908388563078685,0.31422921784618435,0.06404157110937293
121.27647000001218,0.08979549249188318,0.28102898115386,0.2602718744065338,0.31944682625528426,0.049456825676431206
121.28480000001218,0.10716193144390587,0.27074212758559535,0.23311557724649928,0.33706109392005584,0.05191926978488657
121.29313000001218,0.13510186887828143,0.27430769871656213,0.1866693480189196,0.3406750660558115,0.06324601830771191
121.30146000001218,0.16527597406332742,0.28338612492527926,0.1576261939143897,0.32072640173023814,0.07298530534133309
121.30979000001219,0.20340985154313657,0.25013363551100354,0.1328257559809727,0.32836016159671205,0.08527059533840507
121.31812000001219,0.2671772867251835,0.2242481023842445,0.08962745151373899,0.31550743376183354,0.10343972557947526
121.32645000001219,0.34043313071661907,0.19690236601420008,0.07132001379320753,0.273719392172959,0.11762509726433092
121.33478000001219,0.3744335659501997,0.15863712074560027,0.09211689542308277,0.2522925808246802,0.122519837017291
121.34311000001219,0.39053629338256207,0.11918205390126946,0.14143839003919392,0.23574103003055547,0.11310223261162825
