t_s,mean_log_separation,n_pairs
0.6080900000000611,-0.09299414992610568,16544
0.6164200000000619,-0.09024669894152804,16543
0.6247500000000628,-0.08722633863097791,16541
0.6330800000000636,-0.08431909717092671,16540
0.6414100000000644,-0.08155172050220255,16539
0.6497400000000653,-0.07910873278221117,16538
0.6580700000000661,-0.07699265078870483,16536
0.6664000000000669,-0.07526391617702556,16534
0.6747300000000678,-0.0738510841640724,16531
0.6830600000000686,-0.07272717035057415,16529
0.6913900000000694,-0.07146818475035062,16526
0.6997200000000703,-0.07005143146162887,16523
0.7080500000000711,-0.06872086300285651,16522
0.716380000000072,-0.06701857828382936,16521
0.7247100000000728,-0.06461343604316479,16520
0.7330400000000736,-0.06138806183413452,16518
0.7413700000000745,-0.05746361835239597,16516
0.7497000000000753,-0.053058974655961585,16514
0.7580300000000761,-0.047927798550575544,16512
0.766360000000077,-0.04232135119430288,16508
0.7746900000000778,-0.03705239186744532,16506
0.7830200000000787,-0.03233564366054192,16503
0.7913500000000795,-0.028379162210830044,16501
0.7996800000000803,-0.024613141429759768,16499
0.8080100000000812,-0.020801354372189364,16497
0.816340000000082,-0.017415751067545445,16494
0.8246700000000828,-0.01439115988621915,16492
0.8330000000000837,-0.011799460694539465,16490
0.8413300000000845,-0.009632063916285709,16488
0.8496600000000853,-0.007910635061521894,16486
0.8579900000000862,-0.0068577313119109985,16485
0.866320000000087,-0.006333625131284273,16485
0.8746500000000879,-0.0060416141461008795,16482
0.8829800000000887,-0.0055336697437935204,16479
0.8913100000000895,-0.004707420448429714,16477
0.8996400000000904,-0.0034560904546316767,16476
0.9079700000000912,-0.0014083866821049942,16475
0.916300000000092,0.0009577028690937974,16474
0.9246300000000929,0.003432471541687658,16473
0.9329600000000937,0.005491677144981494,16472
0.9412900000000946,0.006365077175603031,16470
0.9496200000000954,0.005634021907643931,16468
0.9579500000000962,0.003124548765476644,16465
0.9662800000000971,-0.0012163744185531926,16463
0.9746100000000979,-0.007287449625461624,16461
0.9829400000000987,-0.014724637036776823,16457
0.9912700000000996,-0.023663365599963036,16455
0.9996000000001004,-0.03345240308889797,16452
1.0079300000001012,-0.043128045456058306,16448
1.016260000000102,-0.0524074438671847,16446
1.024590000000103,-0.060116878723801705,16442
1.0329200000001038,-0.06591036155226845,16441
1.0412500000001046,-0.06948112152685473,16438
1.0495800000001054,-0.07131291787953908,16434
1.0579100000001063,-0.07195970786086583,16433
1.066240000000107,-0.07170260713392147,16432
1.074570000000108,-0.07090890943649227,16429
1.0829000000001088,-0.07023903517526853,16428
1.0912300000001096,-0.06958494057371949,16424
1.0995600000001104,-0.06981888748411744,16422
1.1078900000001113,-0.07090280615656193,16420
1.1162200000001121,-0.07299995549212143,16418
1.124550000000113,-0.07635278407758624,16415
1.1328800000001138,-0.08143059113350105,16413
1.1412100000001146,-0.08804755988089123,16411
1.1495400000001155,-0.09631925899472445,16409
1.1578700000001163,-0.10562350336413379,16404
1.1662000000001171,-0.11626218375322503,16401
1.174530000000118,-0.12717119338570232,16398
1.1828600000001188,-0.13759619245638607,16395
1.1911900000001197,-0.14683045455966387,16393
1.1995200000001205,-0.15413448336584756,16391
1.2078500000001213,-0.15942783169252198,16390
1.2161800000001222,-0.16347866151157514,16389
1.224510000000123,-0.1672388863767425,16388
1.2328400000001238,-0.17121575170091638,16386
1.2411700000001247,-0.17565694106616242,16384
1.2495000000001255,-0.18081330167228632,16382
1.2578300000001263,-0.18677717021228568,16379
1.2661600000001272,-0.19377488830097478,16378
1.274490000000128,-0.20136113242629305,16376
1.2828200000001289,-0.20963593397509436,16375
1.2911500000001297,-0.218322601095739,16375
1.2994800000001305,-0.22717646751320222,16374
1.3078100000001314,-0.2358446794824973,16371
