frequency_Hz,experiment_amplitude
0.5926804627539343,0.0009594564015824565
0.5982195324992982,0.003633451523021614
0.603758602244662,0.00452651688411227
0.6092976719900259,0.005136432146860578
0.6148367417353898,0.00415403890450859
0.6203758114807536,0.0037504522289668494
0.6259148812261175,0.005496972830140594
0.6314539509714814,0.004076386119745819
0.6369930207168453,0.0005409089457349948
0.6425320904622092,0.0003767190637091814
0.648071160207573,0.0016655855065200098
0.6536102299529369,0.002032961838576626
0.6591492996983007,0.0024360463154227217
0.6646883694436646,0.004652375784543901
0.6702274391890285,0.006811073608994508
0.6757665089343924,0.006317849962610254
0.6813055786797563,0.004915092596107069
0.6868446484251202,0.0025566043732801053
0.6923837181704839,0.0006113680351118328
0.6979227879158478,0.00042452061657447833
0.7034618576612117,0.0005184881300790078
0.7090009274065756,0.0020697400695518908
0.7145399971519395,0.001602538661733421
0.7200790668973034,0.0018565296833246295
0.7256181366426673,0.0030608653624249155
0.7311572063880311,0.0016667691626823316
0.736696276133395,0.00128149942319458
0.7422353458787588,0.0018500199854954167
0.7477744156241227,0.0027628900816664454
0.7533134853694866,0.0015752237946331995
0.7588525551148505,0.0014779600086051246
0.7643916248602143,0.0007020186610145601
0.7699306946055782,0.0021006925024122823
0.7754697643509421,0.0024858155739945044
0.781008834096306,0.0033376858624141847
0.7865479038416698,0.0027407280641318747
0.7920869735870337,0.0022178088697039407
0.7976260433323976,0.0005948022810644148
0.8031651130777614,0.0005185756227807134
0.8087041828231253,0.0016137240594960277
0.8142432525684892,0.004175899462794089
0.8197823223138531,0.004426371500482108
0.825321392059217,0.00220359410398907
0.8308604618045808,0.003497718736718677
0.8363995315499446,0.0021730612478980745
0.8419386012953085,0.0021193378719555236
0.8474776710406724,0.0017348785957095395
0.8530167407860363,0.00046676328711040075
0.8585558105314002,0.0017561472634476014
0.8640948802767641,0.002790418552013291
0.8696339500221278,0.002365053597767126
0.8751730197674917,0.0014513903853176375
0.8807120895128556,0.001541955610628609
0.8862511592582195,0.00046461658319909383
0.8917902290035834,0.00048265436446751677
0.8973292987489473,0.0005670545432482228
0.9028683684943112,0.0017958014746815288
0.908407438239675,0.0008175903884250568
0.9139465079850388,0.00285758884975669
0.9194855777304027,0.0023464646413354864
0.9250246474757666,0.001301252161829427
0.9305637172211305,0.0015700084253710853
0.9361027869664944,0.0017496939440035583
0.9416418567118582,0.003420392965969971
0.9471809264572221,0.002445847634473017
0.952719996202586,0.0014313168842208352
0.9582590659479499,0.0013398201120877083
0.9637981356933137,0.0008776581623628628
0.9693372054386776,0.0007801984583911672
0.9748762751840414,0.0006406035077524705
0.9804153449294053,0.00044471259514703966
0.9859544146747692,0.0013657579005360862
0.9914934844201331,0.0025849597651689715
0.997032554165497,0.0024576369424179796
1.0025716239108609,0.0015378584005777266
1.0081106936562247,0.0010969099378865359
1.0136497634015886,0.00047344006554229966
1.0191888331469525,0.0009773373099695429
1.0247279028923164,0.0016572235658227656
1.03026697263768,0.0016239589224920552
1.035806042383044,0.001161802430094839
1.0413451121284079,0.0005206197839230539
1.0468841818737717,0.0008018717991527386
1.0524232516191356,0.0006504123361599848
1.0579623213644995,0.002360248568392175
1.0635013911098634,0.001685986070612897
1.0690404608552273,0.0037307963766161547
1.0745795306005912,0.0036589278237804113
1.080118600345955,0.024957748527804222
1.085657670091319,0.026211258890396112
1.0911967398366829,0.00664149763520637
1.0967358095820468,0.0028749519278129907
1.1022748793274104,0.00044911137308995653
1.1078139490727743,0.002295572832530757
1.1133530188181382,0.0015535473291119419
1.118892088563502,0.0012481538052831983
1.124431158308866,0.0011357591282188876
1.1299702280542299,0.0012479168732763988
1.1355092977995938,0.0013332028428040697
1.1410483675449576,0.0004071790324680399
1.1465874372903215,0.0011054428163197755
1.1521265070356854,0.001568361110541814
1.1576655767810493,0.0026838498317404234
1.1632046465264132,0.001587131250519463
1.168743716271777,0.0009174508641972353
1.1742827860171408,0.00020622170843330608
1.1798218557625046,0.000628860078527142
1.1853609255078685,0.0016034910020118675
1.1908999952532324,0.0012052325477314818
1.1964390649985963,0.00045959220105582036
1.2019781347439602,0.0018511655707213184
1.207517204489324,0.0031675430941347574
1.213056274234688,0.0025600343621664016
1.2185953439800519,0.0008727021853514829
1.2241344137254158,0.0012898927498760002
1.2296734834707796,0.0004372909668417542
1.2352125532161435,0.00034570909881478034
1.2407516229615072,0.0006572087726961601
1.246290692706871,0.001434364626537297
1.251829762452235,0.0011982158156802474
1.2573688321975989,0.0009622005399632681
1.2629079019429628,0.0006104605935987083
1.2684469716883267,0.00014045107362116715
1.2739860414336905,0.0012074755329965325
1.2795251111790544,0.0020534010320263562
1.2850641809244183,0.00036634817343707136
1.2906032506697822,0.001960612299816007
1.296142320415146,0.0018996269651251725
1.30168139016051,0.0010450795179401625
1.3072204599058739,0.0010514288041017143
1.3127595296512375,0.002185624263081384
1.3182985993966014,0.0019199262790223584
1.3238376691419653,0.00041359738152669135
1.3293767388873292,0.0011266160245467657
1.334915808632693,0.0009682933054695544
1.340454878378057,0.0021137671395738663
1.3459939481234209,0.0016875585255085837
1.3515330178687848,0.002070521274333197
1.3570720876141487,0.001377940845294405
