Frequency_Hz,amplitude
2.184680100414394,0.0006987714155405979
2.189203247620221,0.002782480318340553
2.193726394826048,0.004615317706288709
2.1982495420318746,0.002924280769757539
2.202772689237701,0.0025265612018564253
2.2072958364435284,0.0019427005281747746
2.211818983649356,0.0016384449316729666
2.2163421308551823,0.0012615376650736256
2.220865278061009,0.0004226528969435742
2.225388425266836,0.0012596257597806242
2.229911572472663,0.0011811483814788979
2.23443471967849,0.0007972087393055884
2.238957866884317,0.0001946812074511933
2.2434810140901438,0.0011343496052371514
2.2480041612959702,0.0011348079063516362
2.252527308501797,0.0017034956796423586
2.257050455707624,0.0005570580116900012
2.261573602913451,0.002691653854313389
2.266096750119278,0.002283426556532667
2.270619897325105,0.0009267931086838995
2.275143044530932,0.002510628831297443
2.2796661917367587,0.00221419964565347
2.2841893389425856,0.0025476420489388475
2.2887124861484125,0.0016561558792750142
2.2932356333542394,0.0025082628380744764
2.2977587805600663,0.0015333931347213938
2.302281927765893,0.0017330187848098953
2.30680507497172,0.0015872193112700668
2.311328222177547,0.00037181352431817576
2.315851369383374,0.00249429127398682
2.320374516589201,0.0034091559086227036
2.324897663795028,0.0014610316476056273
2.3294208110008547,0.0038320738720540493
2.3339439582066817,0.0010029676801278872
2.338467105412509,0.0026228226900307616
2.3429902526183355,0.0019171690346823098
2.3475133998241624,0.003587165929900534
2.3520365470299893,0.002759812628176126
2.356559694235816,0.001317330711186964
2.361082841441643,0.0012044595143161964
2.36560598864747,0.0012795857998932052
2.370129135853297,0.001267600757309689
2.374652283059124,0.0016551622100616497
2.379175430264951,0.001977693569163961
2.3836985774707777,0.0017813265318035016
2.3882217246766047,0.002303192885755363
2.392744871882431,0.0031308945994242567
2.397268019088258,0.004570518091947227
2.401791166294085,0.001938413381615501
2.406314313499912,0.0008815019249902713
2.410837460705739,0.0020141501850461977
2.4153606079115657,0.0007904349961279968
2.4198837551173926,0.0007452423674804237
2.4244069023232195,0.0005641617007056799
2.4289300495290465,0.002440494249327531
2.4334531967348734,0.002914645634790892
2.4379763439407003,0.0026990050355621574
2.442499491146527,0.003757991471459549
