Frequency_Hz,single_pendulum
4.41225884,0.0004562402749048336
4.41980116,0.00021254552005834537
4.42734348,7.838391469265355e-05
4.43488581,0.00019949061028006395
4.44242813,0.00026941175325741803
4.44997045,0.00018687431746259334
4.45751278,0.0002528455002649121
4.4650551,0.00030651699061306803
4.47259742,0.00012394397666555215
4.48013974,9.161234231287308e-05
4.48768207,0.00017995659481218334
4.49522439,7.245683385521324e-06
4.50276671,6.978493158446263e-05
4.51030904,6.150347715548308e-05
4.51785136,9.901886844743558e-05
4.52539368,6.802545460504732e-05
4.532936,0.00013250645122221162
4.54047833,0.00023065760118514133
4.54802065,0.00020356629641581534
4.55556297,8.51138737248387e-05
4.56310529,0.0001139412248549148
4.57064762,0.0001516490289616238
4.57818994,9.804139374561484e-05
4.58573226,0.00024584748887710595
4.59327459,0.0002481443325211254
4.60081691,0.00010437454524857531
4.60835923,0.00010786904342648828
4.61590155,0.00018844289351260457
4.62344388,5.7415726721492335e-05
4.6309862,0.00015339124903461472
4.63852852,0.00010039114579058687
4.64607085,0.0001277669307927069
4.65361317,0.0001688900801530953
4.66115549,0.0001911347653983845
4.66869781,7.270836002721448e-05
4.67624014,2.89233593725689e-05
4.68378246,0.00018473541025208038
4.69132478,0.0002654276014712613
4.69886711,0.00016128504412114524
4.70640943,0.0001301034232400537
4.71395175,0.00018819110924023365
4.72149407,0.0003893547336110256
4.7290364,0.00030489275032445585
4.73657872,0.00010270138463754094
4.74412104,4.1100144651238215e-05
4.75166337,0.00015854845219576114
4.75920569,0.000171673128205031
4.76674801,5.233841204714897e-05
4.77429033,0.00010846828697447278
4.78183266,5.644038161829899e-05
4.78937498,9.744156409598386e-05
4.7969173,5.44978464871144e-05
4.80445962,0.00011644802944326354
4.81200195,0.00012819813515337617
4.81954427,0.00020168406919589678
4.82708659,0.0001424829295424523
4.83462892,0.000124553060353946
4.84217124,7.802436969722551e-05
4.84971356,0.0001283577335457866
4.85725588,0.0002983229935933948
4.86479821,0.0001347850513012529
4.87234053,5.944728756020623e-05
4.87988285,4.191065025408315e-05
4.88742518,0.00010317671254190503
4.8949675,3.0474808403599453e-05
4.90250982,0.0003034745453591139
4.91005214,0.0003500565438811735
4.91759447,0.0003170647962276844
4.92513679,0.0003166661876831062
4.93267911,0.00011858104500588856
4.94022144,0.00012045629030347214
4.94776376,0.000130194587255745
4.95530608,2.8356555553154662e-05
4.9628484,9.62921292723966e-05
4.97039073,5.855757736812771e-05
4.97793305,9.875451326372133e-05
4.98547537,8.817296895420314e-05
4.99301769,0.00012980659903391836
5.00056002,0.0001210701325834194
5.00810234,0.00031938543517788005
5.01564466,0.00043858349986121724
5.02318699,0.00022587679980799047
5.03072931,0.00012222592407052618
5.03827163,0.00021219989601338476
5.04581395,6.458383296119656e-05
5.05335628,0.00015625422253527047
5.0608986,0.0003031796666567541
5.06844092,0.0003087424663089936
5.07598325,0.0001868382894976668
5.08352557,7.271698732664309e-05
5.09106789,0.00010290039883025481
5.09861021,0.0001438880312018993
5.10615254,4.06491418030891e-05
5.11369486,7.152552078944394e-05
5.12123718,5.948082765117221e-05
5.12877951,0.00013127265671448836
5.13632183,0.00033696654325529796
5.14386415,0.00035459057626883105
5.15140647,0.0002452969984039744
5.1589488,0.0002407262960167655
5.16649112,6.564589831829276e-05
5.17403344,0.0001847612177364294
5.18157576,0.00016458151014976373
5.18911809,3.980552151847997e-05
5.19666041,0.0002259053418615699
5.20420273,0.0003304113334890949
5.21174506,0.000145194351321294
5.21928738,0.0002144637528822517
5.2268297,6.683129179810689e-05
5.23437202,6.614187938809952e-05
5.24191435,7.87092361998594e-05
5.24945667,8.401901571412765e-05
5.25699899,0.00026446918876519773
5.26454132,0.0002704157270398549
5.27208364,0.00038182365704765467
5.27962596,0.00033030377645478984
5.28716828,0.0001247406014450937
5.29471061,0.000138540581684436
5.30225293,5.884043366582421e-05
5.30979525,0.00016829299091308608
5.31733758,0.00017503012202747985
5.3248799,0.00013003561129384868
5.33242222,0.00010713111457958065
5.33996454,3.8125872212282723e-05
5.34750687,0.0001228833714062827
5.35504919,0.0001848199430752293
5.36259151,1.2657023379709445e-05
5.37013383,0.00028824756995709383
5.37767616,0.00020691103940486958
5.38521848,0.000146465485023055
5.3927608,0.0001524800109661801
5.40030313,0.00010833023217233843
5.40784545,0.00011965137043249422
5.41538777,3.596852494642392e-05
5.42293009,3.569851359899083e-05
5.43047242,8.4907545626428e-05
5.43801474,0.00011850551200111306
5.44555706,7.555731410758853e-05
5.45309939,6.632681502146446e-05
5.46064171,0.00015273192144001354
5.46818403,0.00028799665745501973
5.47572635,0.0002974965790403128
5.48326868,0.00028432923825781316
5.490811,7.99068643805187e-05
5.49835332,0.0001408809077564682
5.50589565,0.0001341614298374279
5.51343797,0.00013593627431583794
5.52098029,0.0002103564012067239
5.52852261,0.00013480399367109304
5.53606494,0.00015423548637902846
5.54360726,0.00015678119481449864
5.55114958,0.0001780883738104032
5.5586919,0.00028722534536024203
5.56623423,6.258055804631397e-05
5.57377655,0.00014395674013827265
5.58131887,5.047205326230538e-05
5.5888612,0.00022617356622284116
5.59640352,0.00023162520199072464
5.60394584,0.00015900131093035273
5.61148816,9.462267054029762e-05
5.61903049,0.00019880084740573627
5.62657281,0.00011147306783078229
5.63411513,4.374209974377637e-05
5.64165746,0.0001048093163321315
5.64919978,8.683282109436012e-05
5.6567421,1.274637928376756e-05
5.66428442,0.0002508573280403729
5.67182675,0.00032989284754348703
5.67936907,0.0001763873791400782
5.68691139,8.420935292324493e-05
5.69445372,0.00015260447675015645
5.70199604,0.0002420504835472647
5.70953836,0.00020600585737295932
5.71708068,0.00012881719794673478
5.72462301,0.00021352588232314364
5.73216533,0.00015880971107356103
5.73970765,0.00017868074080814756
5.74724997,0.0004510811527871449
5.7547923,0.0004688579461363364
5.76233462,0.00020298916099523165
5.76987694,0.00013035546808372905
5.77741927,0.00013104579284045818
5.78496159,2.3033147383667134e-05
5.79250391,0.00013338245182064096
5.80004623,6.777625571666666e-05
5.80758856,3.738574874644725e-05
5.81513088,4.258313861912872e-05
5.8226732,0.00018145417283958504
5.83021553,0.00027376329404189457
5.83775785,0.00030070237462756825
5.84530017,0.0002781337440121697
5.85284249,0.0001924648302821076
5.86038482,0.0002180866889228582
5.86792714,0.00016537751556193348
5.87546946,0.00011136481852631883
5.88301179,0.00011671778905145243
5.89055411,2.9514649155062816e-05
5.89809643,2.1596152776759818e-05
5.90563875,8.134953669524566e-05
5.91318108,3.9530007828123555e-05
5.9207234,0.00021316011852602021
5.92826572,0.00015516998084480507
5.93580804,0.0001161597532420133
5.94335037,0.00021041898947427056
5.95089269,0.0002528967132472364
5.95843501,0.00014860942364899502
5.96597734,3.820941779488084e-05
5.97351966,0.00012735357250325083
5.98106198,9.240002396259459e-05
5.9886043,7.35606057937878e-05
5.99614663,0.00015977403646108955
