Frequency_Hz,3cm_experiment,5cm_experiment
1.90543999,0.001057618001963916,0.0010166585362363834
1.91097906,0.0010983199944468991,0.0014453017196489261
1.91651813,0.0012533557494546768,0.0012738889404957459
1.9220572,0.0017549254915520478,0.001191732131564045
1.92759627,0.0013882861205672422,0.001191732131564045
1.93313534,0.0008330059220917288,0.0009649313507001862
1.93867441,0.0011069469050144678,0.0020974843000262228
1.94421348,0.001412420450263579,0.002925615400124936
1.94975255,0.0012790541091847064,0.002925615400124936
1.95529162,0.0006596574404331751,0.0022535084427058533
1.96083069,0.0012219947525469847,0.009228548532190016
1.96636976,0.001093380180929354,0.014274508322687788
1.97190883,0.0012278003723620705,0.014274508322687788
1.9774479,0.0013005836162749234,0.006848171774660318
1.98298697,0.0009118253987063711,0.003696263849502534
1.98852604,0.0008034650079550163,0.0029773999550848666
1.99406511,0.001189373135855689,0.0018273794801306478
1.99960418,0.0012086282775892287,0.0018273794801306478
2.00514325,0.0011053388391242885,0.0010169427982020581
2.01068232,0.001352298770686375,0.0009902566799717297
2.01622139,0.0017173436834608989,0.0010348097349642139
2.02176046,0.0012958744221149277,0.0010348097349642139
2.02729953,0.0009264210429170236,0.0012187335310637148
2.0328386,0.0006965712625412497,0.0007712877851716207
2.03837767,0.0012419952405306768,0.0008615245309957924
2.04391674,0.0012856611454972115,0.0008615245309957924
2.04945581,0.001351016187490539,0.0011980123161504546
2.05499488,0.0012069522656485451,0.001230055704859404
2.06053395,0.0009583385860500602,0.0027418845289570466
2.06607302,0.0008849710587876979,0.0034574801373441614
2.07161208,0.0009658832192615966,0.0034574801373441614
2.07715115,0.0011812710225637462,0.0017148418689943976
2.08269022,0.000987264866987028,0.0072322551291213386
2.08822929,0.0012215639745354566,0.007493014320559868
2.09376836,0.0011665555825668803,0.007493014320559868
2.09930743,0.0012828325536467023,0.002988619185461529
2.1048465,0.001142010711972052,0.002086450271150092
2.11038557,0.0011585583204680278,0.0012884173672001854
2.11592464,0.0014154256942738674,0.0010265678266030294
2.12146371,0.001360632056047758,0.0010265678266030294
2.12700278,0.002059431909845344,0.0008777979175621876
2.13254185,0.0018518428735531318,0.0010543221359386266
2.13808092,0.0015432107466251826,0.0010142467775156533
2.14361999,0.0014497309470525713,0.0010142467775156533
2.14915906,0.0019659935858263766,0.0010815746574549616
2.15469813,0.0020372801589377096,0.0007061149533742499
2.1602372,0.0018238501112042952,0.0009513984029793065
2.16577627,0.006323696028870242,0.0009513984029793065
2.17131534,0.013360355826458725,0.0009688219336733414
2.17685441,0.033294814999183374,0.0019494600726757156
2.18239348,0.20908241231758545,0.004392778602801228
2.18793255,0.4677960184548457,0.003629651240498068
2.19347162,0.26282531266732284,0.003629651240498068
2.19901069,0.00816422546729694,0.0025800833956226244
2.20454976,0.003868901071401104,0.0053613020149896355
2.21008883,0.00330259666440486,0.004137456793810476
2.2156279,0.0014517506341911162,0.004137456793810476
2.22116697,0.0015941881474427452,0.0016297402253697827
2.22670604,0.0015402152100185223,0.0018947724273198048
2.23224511,0.0009416907242645067,0.0015016153215392288
2.23778418,0.0013728839359464923,0.0015016153215392288
2.24332325,0.001624820199793582,0.001222073356139978
2.24886232,0.0016199860600216972,0.0009018032623053947
2.25440139,0.00184183153904526,0.0007751958759390124
2.25994046,0.0012539092147480452,0.0006348019001698728
2.26547953,0.0011548172715903438,0.0006348019001698728
2.2710186,0.0012885392545188147,0.00050987020099793
2.27655767,0.0012000212626260716,0.0007733309870008472
2.28209674,0.0012563326951886755,0.0014438018538825708
2.2876358,0.0009991997455400926,0.0014438018538825708
2.29317487,0.0008372925771369969,0.0014993515783532408
2.29871394,0.0009106489407149011,0.004511342943267971
2.30425301,0.0008540924854624397,0.007103701826658886
2.30979208,0.0007118723941183544,0.007103701826658886
2.31533115,0.0009985534343231412,0.0034029325948797496
2.32087022,0.001389946498925225,0.003667918998094261
2.32640929,0.001278009725367012,0.004066491884559989
2.33194836,0.0012450082353454856,0.0023201115004692057
2.33748743,0.0017352736188693673,0.0023201115004692057
2.3430265,0.0032656431544438036,0.0021418850062106315
2.34856557,0.002433706038113398,0.0012710499353815474
2.35410464,0.00372119227435705,0.00046038377920964047
2.35964371,0.010261269676094796,0.00046038377920964047
2.36518278,0.00816744199803874,0.0006131454019005551
2.37072185,0.002181278122873063,0.000737999855532666
2.37626092,0.0013570827670909497,0.0006511183218797036
2.38179999,0.0011361652919649704,0.0014876973055457723
2.38733906,0.000946555135303612,0.0014876973055457723
2.39287813,0.0009492363680335772,0.008527748060493076
2.3984172,0.0009874813644027392,0.014333723827269588
2.40395627,0.0015276153680730965,0.009252323804834796
2.40949534,0.001429823119652835,0.009252323804834796
2.41503441,0.0009427653611461577,0.005397007003260542
2.42057348,0.0009307888356089312,0.011321528617130174
2.42611255,0.0010960846927607986,0.01258956587018036
2.43165162,0.001147430746240219,0.01258956587018036
2.43719069,0.0008436160456451613,0.004831556890375242
2.44272976,0.0007105567865153336,0.002607285241326229
2.44826883,0.0007742463464254592,0.0026940326333275357
2.4538079,0.0009554223762354991,0.0013244398703408592
2.45934697,0.0010974435743732517,0.0013244398703408592
2.46488604,0.0008793385929764811,0.001459350647953987
2.47042511,0.0010989480978593254,0.0009633607901453678
2.47596418,0.0015138062447793241,0.0010177765887222163
2.48150325,0.001334773599897845,0.0010177765887222163
2.48704232,0.0012793067763568217,0.0008605021331113698
2.49258139,0.001251740921111307,0.0010020523970962814
2.49812046,0.0009013567039433952,0.0008849291608195945
2.50365952,0.000650884245369397,0.0008849291608195945
2.50919859,0.0012190035735192973,0.0012698294877433642
2.51473766,0.0012357417071053264,0.0024943021934526735
2.52027673,0.0011610858588185272,0.002704218375848485
2.5258158,0.0008719764346492396,0.030467519944693745
2.53135487,0.0006666935058322633,0.030467519944693745
2.53689394,0.0006871124828920973,0.2698830175155184
2.54243301,0.0006893061354469592,0.6322369482643249
2.54797208,0.0009128650679873855,0.4821417240524583
2.55351115,0.0006442824351901738,0.4821417240524583
2.55905022,0.0005093293410443707,0.14850702991147907
2.56458929,0.0009999349948032125,0.057659596790509124
2.57012836,0.0010787052100746772,0.021941736817092522
2.57566743,0.0008477875246289405,0.021941736817092522
2.5812065,0.0006779940232111165,0.009858925482220319
2.58674557,0.0010533085366647296,0.004669832794768102
2.59228464,0.0008860942694444618,0.00280267436330995
2.59782371,0.0008444413315174578,0.0014874187393283853
2.60336278,0.0008897309646635381,0.0014874187393283853
2.60890185,0.0007514572039888718,0.0013200325890002779
2.61444092,0.0007915584135272773,0.0010690102460792956
2.61997999,0.0006371755117909624,0.0007000839107501528
2.62551906,0.0006934063242807943,0.0007000839107501528
2.63105813,0.0008831220615490971,0.0007795613805675988
2.6365972,0.0011400750302789549,0.0009530953212358197
2.64213627,0.0011285032736656926,0.0014842836719073103
2.64767534,0.0025992532729572806,0.002432213775996182
2.65321441,0.00471714124480867,0.002432213775996182
2.65875348,0.005894723494862029,0.008907160170676904
2.66429255,0.0030812461808838554,0.016485216106663626
2.66983162,0.002284902558199053,0.014188327856579487
2.67537069,0.003706706023172211,0.014188327856579487
2.68090976,0.001668647239032558,0.007195527324704123
2.68644883,0.0009847468535139406,0.0034574733005375263
2.6919879,0.0012372324682627346,0.001866682552764853
2.69752697,0.0011584214580856872,0.001866682552764853
2.70306604,0.0008239408329531186,0.0013888330756630578
2.70860511,0.0004919704416195703,0.0009828478412641118
2.71414418,0.000769989078540368,0.001011887156096128
2.71968324,0.0011267377720034692,0.0009317277016283657
2.72522231,0.0008834539137716844,0.0009317277016283657
2.73076138,0.0010474758008476824,0.0009797832111179793
2.73630045,0.0011901321923024927,0.0007882874308616065
