Frequency_Hz,bob1,bob2,bob3,bob4,bob5
0.91948558,0.0018876155460856386,0.001769622656953258,0.002247231031628787,0.0005367676046315475,0.004780761434779029
0.92502465,0.0020995916571164303,0.0029587019330660673,0.0012462214916012712,0.000637660580407948,0.005066238026669825
0.93056372,0.0017349045981464328,0.003084174074216741,0.0015036115503030182,0.00011475362847942995,0.0011132056494963481
0.93610279,0.0014456696854753784,0.0020501742590902047,0.001675698256661213,0.0002513222022808973,0.004441976693708258
0.94164186,0.001423134279971079,0.0026979358483237904,0.0032757421949967894,0.00037398726703678564,0.0026244014908289965
0.94718093,0.0003897596950172658,0.001982536888394516,0.0023424109243608405,0.0007953799805392985,0.00067531577992621
0.95272,0.0027060925739261095,0.00017362226661504047,0.00137078559670328,0.0008630307349083745,0.0003961004699716813
0.95825907,0.0032581786329007123,0.0010989544376213166,0.0012831582164400908,0.0005527580912176891,0.0009186659790318432
0.96379814,0.0017526260316388482,0.0032154504144517424,0.0008405411962040926,0.001069650769962699,0.0020610567826788388
0.96933721,0.0014780157598460735,0.0025853241800746943,0.0007472035140070467,0.0010303277660540723,0.0017999802239423899
0.97487628,0.0027609290573126573,0.00015515880936107555,0.0006135117452124078,0.0014016511362815792,0.0017314429343655265
0.98041534,0.0022301079551130614,0.002794576563061258,0.0004259055466718783,0.0008148265495152133,0.0015280519403825027
0.98595441,0.0002082226780193786,0.0044941961530599326,0.001307998885909207,0.0005260642568924601,0.0010770114788389142
0.99149348,0.0014671097592661466,0.004189309731094085,0.002475640193488395,0.0002627218488201928,0.0018731897525749385
0.99703255,0.004087968765459737,0.002253774252133748,0.0023537015808687924,0.0005877968250946092,0.0029156291140891985
1.00257162,0.003795975078982462,0.0006547191284254943,0.0014728214143737413,0.0014880009902038097,0.001652997403194985
1.00811069,0.0012568538120504992,0.0018877983941608192,0.0010505208547213613,0.0014762512447333896,0.0018556072199229642
1.01364976,0.004705590807142115,0.0021173107115589652,0.0004534180092541225,0.0008319582140957881,0.0030545372142663074
1.01918883,0.006657079714762231,0.0009724597500805495,0.0009360050351788022,0.001309597245114357,0.003044442294509093
