Frequency_Hz,experiment,model_scale0p5
0.531662781816246,0.001722690694117937,0.004940483625201374
0.538847414002952,0.0016441065698322998,0.004940483625201374
0.5460320461896581,0.002658841088164546,0.00675031156586625
0.5532166783763641,0.0025312946088060615,0.00675031156586625
0.5604013105630701,0.0017108923539940132,0.005481335701889175
0.5675859427497761,0.0019272062802027123,0.005481335701889175
0.5747705749364822,0.001911629890391866,0.005481335701889175
0.5819552071231882,0.0022828290092868114,0.0045818703328106974
0.5891398393098942,0.0015378052596737527,0.0045818703328106974
0.5963244714966003,0.0012022475522711744,0.0208586378805033
0.6035091036833062,0.0013004665212394077,0.0208586378805033
0.6106937358700123,0.0013631041403817515,0.09127757876965308
0.6178783680567184,0.0024706806585307055,0.09127757876965308
0.6250630002434243,0.0013754667787982413,0.16119228562016027
0.6322476324301304,0.0018643995827928423,0.16119228562016027
0.6394322646168364,0.0022310669515122066,0.16119228562016027
0.6466168968035424,0.00322607384677271,0.0999012839817742
0.6538015289902485,0.0027297767680734965,0.0999012839817742
0.6609861611769545,0.002146765465128735,0.0617606545959812
0.6681707933636605,0.003390653824297297,0.0617606545959812
0.6753554255503665,0.002585280323813197,0.024924268877580705
0.6825400577370726,0.0047817271608081415,0.024924268877580705
0.6897246899237786,0.02365542644213093,0.024924268877580705
0.6969093221104846,0.044128890585621465,0.014915680510752314
0.7040939542971907,0.03411085069040727,0.014915680510752314
0.7112785864838967,0.014934383961798643,0.009700230035296815
0.7184632186706027,0.005046930529634831,0.009700230035296815
0.7256478508573088,0.002236291581779739,0.0068773769314010415
0.7328324830440148,0.001682330986702175,0.0068773769314010415
0.7400171152307208,0.0016325336178139237,0.0068773769314010415
0.7472017474174268,0.0017435760299687202,0.02408023636453858
0.7543863796041329,0.001905649349161839,0.02408023636453858
0.7615710117908389,0.00186961329120176,0.07823406310736991
0.7687556439775449,0.0018945217818885274,0.07823406310736991
0.775940276164251,0.0015662647269300111,0.08142257147479906
0.7831249083509569,0.0020090885704444326,0.08142257147479906
0.790309540537663,0.002226042752193223,0.08142257147479906
0.7974941727243691,0.0020498388253133437,0.02170152005527459
0.804678804911075,0.00171801242600487,0.02170152005527459
0.8118634370977811,0.008944388687904358,0.012100887301525092
0.8190480692844871,0.0297685824423335,0.012100887301525092
0.8262327014711931,0.03358089138703663,0.0037645117416693803
0.8334173336578992,0.01620115786538207,0.0037645117416693803
0.8406019658446052,0.005668253990965076,0.0037645117416693803
0.8477865980313112,0.003718303416535566,0.004682300041042373
0.8549712302180172,0.0016125920619050869,0.004682300041042373
0.8621558624047233,0.0029306294921766693,0.030294498005038455
0.8693404945914293,0.004702357002820768,0.030294498005038455
0.8765251267781353,0.00860929805193509,0.05800074382261985
0.8837097589648414,0.007531340145992015,0.05800074382261985
0.8908943911515473,0.0036090419145785578,0.05800074382261985
0.8980790233382534,0.0017553407940080633,0.032153123821992445
0.9052636555249596,0.0029398161000916447,0.032153123821992445
0.9124482877116654,0.0021057376679069974,0.0077920615009074825
0.9196329198983716,0.0018778526252281086,0.0077920615009074825
0.9268175520850775,0.0019348546790901905,0.0033154244351435466
0.9340021842717836,0.001753129987241247,0.0033154244351435466
0.9411868164584896,0.0017175969848696442,0.0033154244351435466
0.9483714486451956,0.001420479707436611,0.0029324015138246498
0.9555560808319016,0.001329971119508956,0.0029324015138246498
0.9627407130186076,0.0015808101051977576,0.00717033958693199
0.9699253452053136,0.001799126295970707,0.00717033958693199
0.9771099773920195,0.001265889438974222,0.0064204925966216434
0.9842946095787256,0.0009216606854274452,0.0064204925966216434
0.9914792417654318,0.0012826507333179576,0.0064204925966216434
0.9986638739521376,0.0020386538366727876,0.018053802250276
1.0058485061388438,0.0028416527239426724,0.018053802250276
1.0130331383255498,0.002508539867015606,0.02915426457513911
1.020217770512256,0.004593598941757827,0.02915426457513911
1.027402402698962,0.006182600503803884,0.01669015517368162
1.0345870348856678,0.0027430140281389168,0.01669015517368162
1.041771667072374,0.0013337670778234387,0.004628710787005272
1.04895629925908,0.0017231823912961044,0.004628710787005272
1.056140931445786,0.0013895602499305786,0.004628710787005272
1.063325563632492,0.0011737941051881886,0.00296537477594967
1.070510195819198,0.0014133154740892761,0.00296537477594967
1.077694828005904,0.001252926747852739,0.002978410771579569
1.0848794601926102,0.0011713743443628394,0.002978410771579569
1.092064092379316,0.0008820026431081394,0.009932651130234303
1.099248724566022,0.0015294800969410057,0.009932651130234303
