window_start_s,window_center_s,window_end_s,bob1_lambda_s_inv,bob1_tau_s,bob2_lambda_s_inv,bob2_tau_s,bob3_lambda_s_inv,bob3_tau_s,bob4_lambda_s_inv,bob4_tau_s,bob5_lambda_s_inv,bob5_tau_s
50.0,65.0,80.0,-0.2228834338840895,0.1168299999999789,-0.18162993881052114,0.13351999999997588,-0.0036529804280801695,0.1168299999999789,-0.1848962114299507,0.13351999999997588,-0.25320829000661577,0.1168299999999789
55.0,70.0,85.0,-0.20108696706955842,0.1168299999999789,-0.1812070268104942,0.13351999999997588,-0.004853933057277494,0.1168299999999789,-0.17958901588105425,0.13351999999997588,-0.23448230285763144,0.1168299999999789
60.0,75.0,90.0,-0.24323549291544724,0.1168299999999789,-0.1807805256984383,0.13351999999997588,-0.00921773925007398,0.1168299999999789,-0.16685638599588723,0.13351999999997588,-0.21958655665665724,0.1168299999999789
65.0,80.0,95.0,-0.21147525317377533,0.1168299999999789,-0.24250782552855327,0.1168299999999789,-0.0169153813763796,0.1168299999999789,-0.24633186139458194,0.1168299999999789,-0.23648158358338153,0.1168299999999789
70.0,85.0,100.0,-0.21950780933352818,0.1168299999999789,-0.24252892826720424,0.1168299999999789,-0.029745654401391854,0.1168299999999789,-0.233194522710384,0.1168299999999789,-0.2346237235777581,0.1168299999999789
75.0,90.0,105.0,-0.23569567826652219,0.1168299999999789,-0.2515042306426717,0.1168299999999789,-0.018608318657364228,0.1168299999999789,-0.24094330883129622,0.1168299999999789,-0.25219616352980473,0.1168299999999789
80.0,95.0,110.0,-0.22634690997221305,0.1168299999999789,-0.25826735144353463,0.1168299999999789,-0.024862431227157294,0.1168299999999789,-0.2504493200390746,0.1168299999999789,-0.2453742587308988,0.1168299999999789
85.0,100.0,115.0,-0.24467229453009195,0.1168299999999789,-0.25302519400739687,0.1168299999999789,-0.00701248207838933,0.1168299999999789,-0.24071666591953847,0.1168299999999789,-0.25510066962599975,0.1168299999999789
90.0,105.0,120.0,-0.2535800617366977,0.1168299999999789,-0.24104052613462587,0.1168299999999789,-0.018574861488646534,0.1168299999999789,-0.23603037021702652,0.1168299999999789,-0.26025154099473363,0.1168299999999789
95.0,110.0,125.0,-0.26335131933234773,0.1168299999999789,-0.23416369017973215,0.1168299999999789,-0.0010024646902061993,0.1168299999999789,-0.22308689492021336,0.1168299999999789,-0.26022979067524776,0.1168299999999789
100.0,115.0,130.0,-0.27186395401141256,0.1168299999999789,-0.23558223148353258,0.1168299999999789,-0.006289694215592079,0.1168299999999789,-0.22042900719206,0.1168299999999789,-0.29836530505498254,0.10013999999998191
105.0,120.0,135.0,-0.2575689577386715,0.1168299999999789,-0.21439781903320218,0.1168299999999789,0.003905116273890899,0.1168299999999789,-0.20994473762967686,0.1168299999999789,-0.26542334776427773,0.10013999999998191
110.0,125.0,140.0,-0.24909316713668492,0.1168299999999789,-0.20217310530632496,0.1168299999999789,0.0024540025473380645,0.1168299999999789,-0.21436561168388213,0.1168299999999789,-0.2755642539721816,0.10013999999998191
115.0,130.0,145.0,-0.24196490070673488,0.1168299999999789,-0.19619927666226483,0.1168299999999789,-0.015346116215643073,0.1168299999999789,-0.2118849290894067,0.1168299999999789,-0.25396513660985903,0.10013999999998191
120.0,135.0,150.0,-0.26028919207018364,0.11683000000007837,-0.2071390401441612,0.11683000000007837,-0.011512408104429016,0.11683000000007837,-0.21608853359764268,0.11683000000007837,-0.259990958247963,0.10014000000006718
125.0,140.0,155.0,-0.2655511120906721,0.11683000000007837,-0.20934554116583656,0.11683000000007837,-0.02022065518515627,0.11683000000007837,-0.21722229751465386,0.11683000000007837,-0.24961111965908614,0.10014000000006718
130.0,145.0,160.0,-0.26999949865507933,0.11683000000007837,-0.21277557873309205,0.11683000000007837,-0.024455725059453797,0.11683000000007837,-0.24593362973402147,0.11683000000007837,-0.2360023625703631,0.10014000000006718
135.0,150.0,165.0,-0.2585754812671019,0.11683000000007837,-0.21892898474035857,0.11683000000007837,-0.029915449118725214,0.11683000000007837,-0.2396822294258806,0.11683000000007837,-0.26409298286949495,0.10014000000006718
140.0,155.0,170.0,-0.23929985418516236,0.11683000000007837,-0.21232594774386898,0.11683000000007837,-0.03396076104625648,0.11683000000007837,-0.27705385476396466,0.11683000000007837,-0.2723955826608478,0.10014000000006718
145.0,160.0,175.0,-0.24293274011105676,0.11683000000007837,-0.2155666855501879,0.11683000000007837,-0.03029881807061742,0.11683000000007837,-0.17467770538056435,0.13352000000008957,-0.2756359821537165,0.10014000000006718
